seed,step,Delta,strain,history_source,alpha0p8_through_crack,first_through_step_running,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,whole_boundary_residual_magnitude_N,elastic_energy_kNmm,fracture_energy_kNmm,alpha_max,alpha_mean
7,0,1e-06,9.999999999999999e-05,zero_initial_history,False,,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,145,155,0.03335038827103958,3.601863599045352e-11,1.2219859515209277e-15,0.00014440219092648476,-3.467350688879378e-05
7,1,5e-06,0.0005,checkpoint_step_0000_post_history,False,,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,145,155,0.15846932025424704,1.047781750251886e-09,1.7352423751365587e-12,0.004004240036010742,0.0006527907098643482
7,2,1e-05,0.001,checkpoint_step_0001_post_history,False,,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,145,155,0.33590844012938154,4.1985037668723635e-09,4.45459086284572e-11,0.04065032675862312,0.005827195942401886
7,3,1.5e-05,0.0015,checkpoint_step_0002_post_history,False,,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,145,155,0.5034525174087706,9.247318466520937e-09,2.2991458736854042e-10,0.12968690693378448,0.013314236886799335
7,4,2e-05,0.002,checkpoint_step_0003_post_history,False,,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,145,155,0.5985593497743988,1.5785154516834154e-08,7.727340989305276e-10,0.3391522467136383,0.023987332358956337
7,5,2.5e-05,0.0025,checkpoint_step_0004_post_history,False,,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,145,152,0.5619013495904753,2.2599378368681755e-08,2.441446822487592e-09,0.8747785687446594,0.03892142325639725
7,6,3e-05,0.003,checkpoint_step_0005_post_history,False,,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,146,160,0.47742603222930563,2.9099048504122038e-08,5.042767092788836e-09,1.0001996755599976,0.05440732091665268
7,7,3.5e-05,0.0034999999999999996,checkpoint_step_0006_post_history,False,,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,148,156,0.507333029304263,3.456098340848257e-08,8.575084642359343e-09,1.0004754066467285,0.06987661123275757
7,8,4e-05,0.004,checkpoint_step_0007_post_history,False,,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,148,152,0.8287639256376501,3.834374595612644e-08,1.2775907443085543e-08,1.0007818937301636,0.08503485471010208
7,9,4.5e-05,0.0045000000000000005,checkpoint_step_0008_post_history,False,,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,147,151,1.341495760201948,4.018691512897021e-08,1.7172602895243472e-08,1.000997543334961,0.0980919674038887
7,10,4.7e-05,0.004699999999999999,checkpoint_step_0009_post_history,False,,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,147,150,1.52350213296552,4.0480955476596137e-08,1.8710993643367146e-08,1.00108802318573,0.10219351947307587
7,11,4.9e-05,0.0049,checkpoint_step_0010_post_history,False,,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,148,151,1.646876969462463,4.056213143144305e-08,2.012300193143801e-08,1.0010566711425781,0.10571971535682678
7,12,5.1e-05,0.0050999999999999995,checkpoint_step_0011_post_history,False,,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,148,151,1.9415466301867506,4.038785306192949e-08,2.1444213516019772e-08,1.0011094808578491,0.10836422443389893
7,13,5.3e-05,0.0053,checkpoint_step_0012_post_history,False,,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,149,150,2.1835628971192382,4.003392461982003e-08,2.2585659564811067e-08,1.001179575920105,0.11018272489309311
7,14,5.5e-05,0.0055,checkpoint_step_0013_post_history,True,14.0,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,149,151,2.4018087489416846,3.968812833932134e-08,2.3382336067356846e-08,1.001191258430481,0.11129926890134811
7,15,5.7e-05,0.0057,checkpoint_step_0014_post_history,True,14.0,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,149,152,2.694386850936695,3.94800778735771e-08,2.381238495274829e-08,1.0011950731277466,0.1117127537727356
7,16,5.9e-05,0.0059,checkpoint_step_0015_post_history,True,14.0,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,149,153,2.8934774001284795,3.932247949478551e-08,2.4130565989821662e-08,1.001208782196045,0.11222781240940094
7,17,6.1e-05,0.0060999999999999995,checkpoint_step_0016_post_history,True,14.0,0.6926931438529224,-1.1422028621878149,0.4760615156541447,0.7168713220325532,149,152,3.0690757356642187,3.920910174315395e-08,2.4345091276245512e-08,1.0012792348861694,0.11238057911396027
7,18,6.3e-05,0.0063,checkpoint_step_0017_post_history,True,14.0,0.6808268873507809,-1.142288097458381,0.4506149878683711,0.6644983939636251,149,154,3.267164855429521,3.91402998900503e-08,2.4488102212671947e-08,1.0013314485549927,0.11252077668905258
7,19,6.5e-05,0.0065,checkpoint_step_0018_post_history,True,14.0,0.7012078391452883,-1.1359143628219817,0.4615015362268302,0.6279197043908142,149,154,3.448428192238085,3.908876067271194e-08,2.4585261826359783e-08,1.0013574361801147,0.11256856471300125
7,20,6.7e-05,0.0067,checkpoint_step_0019_post_history,True,14.0,0.7002755366573624,-1.1233416716392621,0.4254591035062726,0.6663936277489911,149,154,3.709177509396619,3.903935663629454e-08,2.4683354027388305e-08,1.001320242881775,0.11276517808437347
7,21,6.9e-05,0.0069,checkpoint_step_0020_post_history,True,14.0,0.7261492766258516,-1.1249793272959128,0.43858741894963493,0.5924164779558223,149,154,3.9570241043287475,3.9022232556362724e-08,2.4731097170160865e-08,1.0014089345932007,0.1127924844622612
7,22,7.1e-05,0.0071,checkpoint_step_0021_post_history,True,14.0,0.7216845756628077,-1.1186633755810798,0.41795576475710855,0.5297137396610571,149,154,4.21178405183942,3.8992251205627326e-08,2.4786789509789742e-08,1.0014755725860596,0.11283159255981445
7,23,7.3e-05,0.0073,checkpoint_step_0022_post_history,True,14.0,0.7347222573893782,-1.1296290378474707,0.395855773679211,0.5142560200415774,149,154,4.421209564039235,3.896881395348828e-08,2.483969296918076e-08,1.0014830827713013,0.11290537565946579
7,24,7.5e-05,0.007499999999999999,checkpoint_step_0023_post_history,True,14.0,0.7544227505774859,-1.1343272366231876,0.42398008652896085,0.5434285883063613,149,154,4.691012654471909,3.897224942761568e-08,2.4850484336980116e-08,1.0014971494674683,0.1129123643040657
7,25,7.7e-05,0.0077,checkpoint_step_0024_post_history,True,14.0,0.7680484909366865,-1.07999169674373,0.4399784522101795,0.5379141699834513,149,154,4.8258016047292775,3.894879085919456e-08,2.4898879402712737e-08,1.0015028715133667,0.11298985034227371
7,26,8e-05,0.008,checkpoint_step_0025_post_history,True,14.0,0.7712275739621465,-1.1164001883649035,0.44516009195524797,0.5536744084382818,149,154,5.111670445892622,3.8945668023870894e-08,2.4920737473621557e-08,1.001452088356018,0.113001249730587
7,27,8.3e-05,0.0083,checkpoint_step_0026_post_history,True,14.0,0.7906880250428405,-1.1032227728379278,0.4705866958963,0.5442961404925403,149,154,5.304296292868198,3.895279476751057e-08,2.493692896621269e-08,1.0014433860778809,0.11297030746936798
7,28,8.6e-05,0.0086,checkpoint_step_0027_post_history,True,14.0,0.7836383307179295,-1.1124138478489543,0.4858015763978453,0.45457349205184233,149,154,5.5375951535013295,3.8947057134919305e-08,2.4961178013427343e-08,1.0015439987182617,0.11303874850273132
7,29,8.9e-05,0.0089,checkpoint_step_0028_post_history,True,14.0,0.7920138333648773,-1.1066280935960706,0.43383873349217494,0.48524500816549837,149,154,5.819331202936428,3.8949252711972804e-08,2.4985052249348882e-08,1.0015424489974976,0.11309752613306046
7,30,9.2e-05,0.0092,checkpoint_step_0029_post_history,True,14.0,0.7919954962911475,-1.0844541296649155,0.4932780463401472,0.4645256655544675,149,154,6.009255425361458,3.8961573523010884e-08,2.4986942293026004e-08,1.0015400648117065,0.11307040601968765
7,31,9.5e-05,0.0095,checkpoint_step_0030_post_history,True,14.0,0.7958750178318326,-1.1094444099080805,0.40005986073965355,0.4278969559829134,149,154,6.348467854497893,3.896970213190798e-08,2.5006656301229668e-08,1.0016489028930664,0.11307673901319504
7,32,9.8e-05,0.0098,checkpoint_step_0031_post_history,True,14.0,0.7773006457540883,-1.090382838797555,0.4059454105124869,0.4356454761623413,149,154,6.6702671108649065,3.897945077824261e-08,2.5013946469698567e-08,1.0016355514526367,0.11311930418014526
7,33,0.0001,0.01,checkpoint_step_0032_post_history,True,14.0,0.7899191416840626,-1.1025048585562636,0.39065278890249855,0.44692571853037294,149,154,6.903650986045457,3.898579237215927e-08,2.5023689786962677e-08,1.001680850982666,0.11311120539903641
13,0,1e-06,9.999999999999999e-05,zero_initial_history,False,,0.037442241874484535,-0.05311686193419933,0.044218994454087474,0.04838995681460435,145,155,0.027016269660728398,3.601073259029697e-11,6.0721504999703205e-15,4.786745921592228e-05,-8.283311035484076e-05
13,1,5e-06,0.0005,checkpoint_step_0000_post_history,False,,0.19163616324297192,-0.268637139625194,0.2314215633858605,0.252156258457008,145,155,0.13265798970101722,1.0491032487180973e-09,9.82881311062389e-13,0.003491431474685669,0.0001964668626897037
13,2,1e-05,0.001,checkpoint_step_0001_post_history,False,,0.3747238116052988,-0.5233995804127435,0.4478271992773866,0.4888219992173729,145,155,0.3118825758355458,4.196665237543584e-09,4.6083095672777574e-11,0.05623248219490051,0.005864616017788649
13,3,1.5e-05,0.0015,checkpoint_step_0002_post_history,False,,0.5270649606710509,-0.7534159373215125,0.6356660376104307,0.7037330038659797,145,155,0.4371304859606111,9.243446896789465e-09,2.338169657889466e-10,0.13607583940029144,0.013378887437283993
13,4,2e-05,0.002,checkpoint_step_0003_post_history,False,,0.637584225153772,-0.9408712267149891,0.778530767432385,0.8711976821997702,145,155,0.5380926524895979,1.5759530569425806e-08,7.962839831954227e-10,0.37072765827178955,0.02421794831752777
13,5,2.5e-05,0.0025,checkpoint_step_0004_post_history,False,,0.6888967609873091,-1.0550813200033837,0.8605991975030077,0.9822416879963375,144,152,0.5259963810093452,2.2577253844247025e-08,2.4600419479270386e-09,0.8895771503448486,0.039073970168828964
13,6,3e-05,0.003,checkpoint_step_0005_post_history,False,,0.6947862667568702,-1.119141004073881,0.9003227839974065,1.0449446907657856,145,152,0.4655353177182347,2.9119821221001985e-08,5.024429317046497e-09,0.9902418255805969,0.05448178946971893
13,7,3.5e-05,0.0034999999999999996,checkpoint_step_0006_post_history,False,,0.6859504755244915,-1.1373983937797396,0.8656144133232562,1.0415057521730287,146,151,0.5177317672390405,3.460058550786016e-08,8.549392305212677e-09,1.000504970550537,0.07005010545253754
13,8,4e-05,0.004,checkpoint_step_0007_post_history,False,,0.6858128828986199,-1.135994525917511,0.8250393613170383,0.9838457554528494,146,152,0.8372084599718346,3.851515018027385e-08,1.2719163500207742e-08,1.0009403228759766,0.08510706573724747
13,9,4.5e-05,0.0045000000000000005,checkpoint_step_0008_post_history,False,,0.7361550020105776,-1.1425743393837047,0.7498481026382631,0.8670827430565613,146,153,1.2445265472697635,4.003060638524403e-08,1.7466666335508307e-08,1.0012127161026,0.09912998229265213
13,10,4.7e-05,0.004699999999999999,checkpoint_step_0009_post_history,False,,0.7570219453425842,-1.1396606721659153,0.7000457053366538,0.8377709453311352,146,153,1.4162887022570443,4.023981858836123e-08,1.898430568303411e-08,1.0012216567993164,0.10308471322059631
13,11,4.9e-05,0.0049,checkpoint_step_0010_post_history,False,,0.7596221226932346,-1.1422001698809487,0.6626470156666572,0.8217287791928681,145,151,1.6672649579442187,4.023647903750316e-08,2.035079660345218e-08,1.0012873411178589,0.10629980266094208
13,12,5.1e-05,0.0050999999999999995,checkpoint_step_0011_post_history,False,,0.7773957107567939,-1.1381281633726241,0.6657423294181468,0.7951311780081053,143,150,1.8215483941224542,4.0028684367143796e-08,2.158034106969353e-08,1.001416802406311,0.10855136811733246
13,13,5.3e-05,0.0053,checkpoint_step_0012_post_history,False,,0.7797367818428649,-1.1384655306182512,0.6502991485290078,0.7810932649093566,145,151,2.004274468705882,3.965701722563608e-08,2.2633885876643944e-08,1.0014091730117798,0.11012300848960876
13,14,5.5e-05,0.0055,checkpoint_step_0013_post_history,True,14.0,0.7813672506594183,-1.136394445131735,0.6569949598328645,0.7507389681580857,146,151,2.3012909258079923,3.937041270773989e-08,2.329690929059325e-08,1.0014535188674927,0.11103277653455734
