seed,quantity,fit_x,slope,intercept,r2,slope_ratio_to_legacy
7,legacy_top_sigma_integral_N,Delta,10220.90252754138,0.2654798897438931,0.7093502183106495,1.0
7,bottom_reaction_N,Delta,-18008.12196337803,-0.35914621384231954,0.7709130245053128,-1.7618915663125743
7,global_delta_mode_N,Delta,526.8134237149048,1.0013126296905206,0.00025477553990582713,0.051542749996426086
7,pure_top_vertical_mode_N,Delta,428.5692082301122,1.0010684942878634,0.0001682990251067329,0.04193066190341645
7,no_horizontal_delta_mode_N,Delta,548.133295378564,0.9997225351354768,0.00027588476900153314,0.053628658907719416
7,elastic_energy_kNmm,Delta_squared,14.537273597344043,7.665258570898589e-09,0.8562262571632835,0.0014223082118405602
13,legacy_top_sigma_integral_N,Delta,11527.03046771765,0.24452245515094329,0.7890311131297665,1.0
13,bottom_reaction_N,Delta,-17975.583100316016,-0.3593204617478555,0.7711555281581377,-1.559428783558614
13,global_delta_mode_N,Delta,-800.0139146653631,1.0225412568007386,0.0005509515439350299,-0.06940329661710053
13,pure_top_vertical_mode_N,Delta,-923.9252299573036,1.0277159255880794,0.0007254636325307873,-0.08015292685699309
13,no_horizontal_delta_mode_N,Delta,-847.4832385954841,1.0243163805838456,0.000617513073122633,-0.07352138445100212
13,elastic_energy_kNmm,Delta_squared,14.411909888470342,7.727397578187556e-09,0.850693317186292,0.0012502708246353667
42,legacy_top_sigma_integral_N,Delta,10854.4253286103,0.2579088604269692,0.7414535041725179,1.0
42,bottom_reaction_N,Delta,-18045.980183933112,-0.35874735204266867,0.772142353775982,-1.6625458868252727
42,global_delta_mode_N,Delta,-55.07565931481675,1.0087963151333013,2.7395292800935778e-06,-0.005074028117329002
42,pure_top_vertical_mode_N,Delta,-137.34100623768387,1.0094475670353644,1.7024925515696232e-05,-0.01265299655023448
42,no_horizontal_delta_mode_N,Delta,-48.57652223225236,1.0083850255497009,2.1300692522041587e-06,-0.004475273518554082
42,elastic_energy_kNmm,Delta_squared,14.44651147437892,7.715480725172834e-09,0.8521509190175504,0.0013309328718030362
