seed,step,Delta,strain,mode,R_energy_N,R_virtual_current_sigma_N,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,prethrough_abs_ratio_to_legacy,alpha0p8_through_crack,R_elastic_N,R_fracture_N
7,0,1e-06,9.999999999999999e-05,global_delta_mode,0.07881747296778485,0.05421896278858185,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,2.116461312206909,False,0.07881747296778485,0.0
7,0,1e-06,9.999999999999999e-05,pure_top_vertical_mode,0.07875344454078004,0.0453796312212944,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,2.114741976588365,False,0.07875344454078004,0.0
7,0,1e-06,9.999999999999999e-05,no_horizontal_delta_mode,0.07875190203776583,0.045732155442237854,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,2.114700556230282,False,0.07875190203776583,0.0
7,0,1e-06,9.999999999999999e-05,affine_vertical_mode,0.07875344454078004,0.0453796312212944,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,2.114741976588365,False,0.07875344454078004,0.0
7,1,5e-06,0.0005,global_delta_mode,0.427455612225458,0.2691335082054138,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,2.1913183809639576,False,0.427455612225458,0.0
7,1,5e-06,0.0005,pure_top_vertical_mode,0.4252258222550154,0.23506078124046326,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,2.1798875338580297,False,0.4252258222550154,0.0
7,1,5e-06,0.0005,no_horizontal_delta_mode,0.4252447106409818,0.23892511427402496,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,2.179984363718654,False,0.4252447106409818,0.0
7,1,5e-06,0.0005,affine_vertical_mode,0.4252258222550154,0.23506078124046326,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,2.1798875338580297,False,0.4252258222550154,0.0
7,2,1e-05,0.001,global_delta_mode,0.8481868426315486,0.5298277735710144,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,2.2259586823955533,False,0.8481868426315486,0.0
7,2,1e-05,0.001,pure_top_vertical_mode,0.8452866459265351,0.4568352699279785,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,2.2183474843532083,False,0.8452866459265351,0.0
7,2,1e-05,0.001,no_horizontal_delta_mode,0.8453141199424863,0.465371310710907,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,2.218419586419962,False,0.8453141199424863,0.0
7,2,1e-05,0.001,affine_vertical_mode,0.8452866459265351,0.4568352699279785,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,2.2183474843532083,False,0.8452866459265351,0.0
7,3,1.5e-05,0.0015,global_delta_mode,1.2412937358021736,0.7674339413642883,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,2.331339159247863,False,1.2412937358021736,0.0
7,3,1.5e-05,0.0015,pure_top_vertical_mode,1.2399257393553853,0.6510688662528992,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,2.3287698530521395,False,1.2399257393553853,0.0
7,3,1.5e-05,0.0015,no_horizontal_delta_mode,1.2390001211315393,0.6639482975006104,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,2.327031400702365,False,1.2390001211315393,0.0
7,3,1.5e-05,0.0015,affine_vertical_mode,1.2399257393553853,0.6510688662528992,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,2.3287698530521395,False,1.2399257393553853,0.0
7,4,2e-05,0.002,global_delta_mode,1.5864964807406068,0.9621469378471375,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,2.474722688295301,False,1.5864964807406068,0.0
7,4,2e-05,0.002,pure_top_vertical_mode,1.5885207103565335,0.8007524013519287,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,2.477880216230387,False,1.5885207103565335,0.0
7,4,2e-05,0.002,no_horizontal_delta_mode,1.5881373547017574,0.8116658329963684,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,2.477282232592807,False,1.5881373547017574,0.0
7,4,2e-05,0.002,affine_vertical_mode,1.5885207103565335,0.8007524013519287,0.6410805090381484,-0.9418791487176068,0.7828075967338289,0.866577783386345,2.477880216230387,False,1.5885207103565335,0.0
7,5,2.5e-05,0.0025,global_delta_mode,1.7821155488491058,0.939889132976532,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,2.597424845983088,False,1.7821155488491058,0.0
7,5,2.5e-05,0.0025,pure_top_vertical_mode,1.7775609157979488,0.875530481338501,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,2.5907864902047266,False,1.7775609157979488,0.0
7,5,2.5e-05,0.0025,no_horizontal_delta_mode,1.7798006301745772,0.7554026246070862,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,2.5940508631425625,False,1.7798006301745772,0.0
7,5,2.5e-05,0.0025,affine_vertical_mode,1.7775609157979488,0.875530481338501,0.6861086093039972,-1.0552538973235857,0.8613452867637285,0.9776652748717819,2.5907864902047266,False,1.7775609157979488,0.0
7,6,3e-05,0.003,global_delta_mode,1.8339642556384206,0.46583643555641174,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,2.6439108949213646,False,1.8339642556384206,0.0
7,6,3e-05,0.003,pure_top_vertical_mode,1.8303684191778302,0.8788707256317139,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,2.6387270037057746,False,1.8303684191778302,0.0
7,6,3e-05,0.003,no_horizontal_delta_mode,1.8333252519369125,0.2214042693376541,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,2.6429896834838362,False,1.8333252519369125,0.0
7,6,3e-05,0.003,affine_vertical_mode,1.8303684191778302,0.8788707256317139,0.6936558486752507,-1.1198192161998273,0.8822925314912595,1.0474287747763096,2.6387270037057746,False,1.8303684191778302,0.0
7,7,3.5e-05,0.0034999999999999996,global_delta_mode,1.731373369693756,-0.7361004948616028,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,2.517545072718763,False,1.731373369693756,0.0
7,7,3.5e-05,0.0034999999999999996,pure_top_vertical_mode,1.7339292680844665,0.8118559122085571,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,2.5212615382209678,False,1.7339292680844665,0.0
7,7,3.5e-05,0.0034999999999999996,no_horizontal_delta_mode,1.7327098175883293,-1.0477747917175293,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,2.51948836690985,False,1.7327098175883293,0.0
7,7,3.5e-05,0.0034999999999999996,affine_vertical_mode,1.7339292680844665,0.8118559122085571,0.6877228886408776,-1.1406299528019412,0.8735689643427342,1.0576028251513538,2.5212615382209678,False,1.7339292680844665,0.0
7,8,4e-05,0.004,global_delta_mode,1.4293115818873048,-2.946578025817871,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,2.1327430247987955,False,1.4293115818873048,0.0
7,8,4e-05,0.004,pure_top_vertical_mode,1.4158511767163873,0.6743832230567932,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,2.1126581212668913,False,1.4158511767163873,0.0
7,8,4e-05,0.004,no_horizontal_delta_mode,1.4245869824662805,-3.3426284790039062,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,2.125693227828108,False,1.4245869824662805,0.0
7,8,4e-05,0.004,affine_vertical_mode,1.4158511767163873,0.6743832230567932,0.6701752462756956,-1.1406655473392364,0.7904819644184224,1.0065066348218594,2.1126581212668913,False,1.4158511767163873,0.0
7,9,4.5e-05,0.0045000000000000005,global_delta_mode,1.007041078992188,-6.195499420166016,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,1.4600756943598838,False,1.007041078992188,0.0
7,9,4.5e-05,0.0045000000000000005,pure_top_vertical_mode,1.0007661767303944,0.49448588490486145,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,1.4509779202292619,False,1.0007661767303944,0.0
7,9,4.5e-05,0.0045000000000000005,no_horizontal_delta_mode,1.006979844532907,-6.652451515197754,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,1.459986912534079,False,1.006979844532907,0.0
7,9,4.5e-05,0.0045000000000000005,affine_vertical_mode,1.0007661767303944,0.49448588490486145,0.6897184049308401,-1.140980001588766,0.696312564080353,0.9117016860848027,1.4509779202292619,False,1.0007661767303944,0.0
7,10,4.7e-05,0.004699999999999999,global_delta_mode,0.8521633571945131,-7.978897571563721,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,1.194997280954907,False,0.8521633571945131,0.0
7,10,4.7e-05,0.004699999999999999,pure_top_vertical_mode,0.852032273542136,0.4194491505622864,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,1.1948134610254932,False,0.852032273542136,0.0
7,10,4.7e-05,0.004699999999999999,no_horizontal_delta_mode,0.851816963404417,-8.442855834960938,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,1.1945115294451645,False,0.851816963404417,0.0
7,10,4.7e-05,0.004699999999999999,affine_vertical_mode,0.852032273542136,0.4194491505622864,0.713109034451995,-1.1435436726918995,0.6550865805540644,0.8758528695044606,1.1948134610254932,False,0.852032273542136,0.0
7,11,4.9e-05,0.0049,global_delta_mode,0.6778757669962943,-10.017044067382812,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,0.9480312009541955,False,0.6778757669962943,0.0
7,11,4.9e-05,0.0049,pure_top_vertical_mode,0.6787515012547374,0.3347858190536499,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,0.9492559436595253,False,0.6787515012547374,0.0
7,11,4.9e-05,0.0049,no_horizontal_delta_mode,0.6777190137654543,-10.502492904663086,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,0.9478119764872328,False,0.6777190137654543,0.0
7,11,4.9e-05,0.0049,affine_vertical_mode,0.6787515012547374,0.3347858190536499,0.7150352924186576,-1.1426244606118396,0.6148575608660783,0.8338161278639373,0.9492559436595253,False,0.6787515012547374,0.0
7,12,5.1e-05,0.0050999999999999995,global_delta_mode,0.4787435755133629,-12.233088493347168,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,0.6715837203089304,False,0.4787435755133629,0.0
7,12,5.1e-05,0.0050999999999999995,pure_top_vertical_mode,0.4768128856085241,0.24686530232429504,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,0.6688753395068191,False,0.4768128856085241,0.0
7,12,5.1e-05,0.0050999999999999995,no_horizontal_delta_mode,0.4784845805261284,-12.750816345214844,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,0.6712204009330375,False,0.4784845805261284,0.0
7,12,5.1e-05,0.0050999999999999995,affine_vertical_mode,0.4768128856085241,0.24686530232429504,0.7128576245015877,-1.1384218580423728,0.5595802526562701,0.823826166394214,0.6688753395068191,False,0.4768128856085241,0.0
7,13,5.3e-05,0.0053,global_delta_mode,0.2679606550373137,-14.832749366760254,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,0.37447160948703556,False,0.2679606550373137,0.0
7,13,5.3e-05,0.0053,pure_top_vertical_mode,0.2537444233894348,0.15510320663452148,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,0.3546046064552642,False,0.2537444233894348,0.0
7,13,5.3e-05,0.0053,no_horizontal_delta_mode,0.2677489828784019,-15.38858413696289,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,0.3741758003354261,False,0.2677489828784019,0.0
7,13,5.3e-05,0.0053,affine_vertical_mode,0.2537444233894348,0.15510320663452148,0.7155700145182586,-1.138536508082814,0.5621028220983304,0.777763399013622,0.3546046064552642,False,0.2537444233894348,0.0
7,14,5.5e-05,0.0055,global_delta_mode,0.15983432240318507,-17.60835075378418,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,0.2259895207484542,True,0.15983432240318507,0.0
7,14,5.5e-05,0.0055,pure_top_vertical_mode,0.15790743054822087,0.06978417187929153,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,0.22326509109973952,True,0.15790743054822087,0.0
7,14,5.5e-05,0.0055,no_horizontal_delta_mode,0.15956904098857194,-18.18593978881836,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,0.22561443973424833,True,0.15956904098857194,0.0
7,14,5.5e-05,0.0055,affine_vertical_mode,0.15790743054822087,0.06978417187929153,0.7072643097513112,-1.1384542984101476,0.5254806035046921,0.7555324579148656,0.22326509109973952,True,0.15790743054822087,0.0
7,15,5.7e-05,0.0057,global_delta_mode,0.11356447066646069,-20.227306365966797,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,0.16127819608684546,True,0.11356447066646069,0.0
7,15,5.7e-05,0.0057,pure_top_vertical_mode,0.11406137491576374,-0.0037524006329476833,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,0.1619838729634705,True,0.11406137491576374,0.0
7,15,5.7e-05,0.0057,no_horizontal_delta_mode,0.11315415031276643,-20.83873748779297,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,0.1606954810345657,True,0.11315415031276643,0.0
7,15,5.7e-05,0.0057,affine_vertical_mode,0.11406137491576374,-0.0037524006329476833,0.7041526593297722,-1.1385741505852125,0.5167802519474988,0.7395441376390316,0.1619838729634705,True,0.11406137491576374,0.0
7,16,5.9e-05,0.0059,global_delta_mode,0.07449212716892362,-23.434062957763672,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,0.10816425594967274,True,0.07449212716892362,0.0
7,16,5.9e-05,0.0059,pure_top_vertical_mode,0.08072529453784227,-0.0936281755566597,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,0.1172149561550782,True,0.08072529453784227,0.0
7,16,5.9e-05,0.0059,no_horizontal_delta_mode,0.07430797268170863,-24.083648681640625,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,0.10789685946300467,True,0.07430797268170863,0.0
7,16,5.9e-05,0.0059,affine_vertical_mode,0.08072529453784227,-0.0936281755566597,0.688694490752876,-1.138462204576597,0.46451134154459867,0.7377947511751924,0.1172149561550782,True,0.08072529453784227,0.0
7,17,6.1e-05,0.0060999999999999995,global_delta_mode,0.03537354859872721,-26.8477725982666,0.6926931438529224,-1.1422028621878149,0.4760615156541447,0.7168713220325532,0.05106669369061632,True,0.03537354859872721,0.0
7,17,6.1e-05,0.0060999999999999995,pure_top_vertical_mode,0.03117746382486075,-0.17112693190574646,0.6926931438529224,-1.1422028621878149,0.4760615156541447,0.7168713220325532,0.04500905502174362,True,0.03117746382486075,0.0
