seed,step,Delta,mode,R_energy_exact_N,R_virtual_current_sigma_N,R_energy_minus_virtual_current_sigma_N,relative_error_current_sigma,legacy_top_sigma_integral_N,bottom_reaction_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,alpha0p8_through_crack
7,0,1e-06,global_delta_mode,0.07881747296778485,0.05421896278858185,0.024598510179203004,0.3120946314690548,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,False
7,0,1e-06,pure_top_vertical_mode,0.07875344454078004,0.0453796312212944,0.033373813319485635,0.42377591880700577,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,False
7,0,1e-06,no_horizontal_delta_mode,0.07875190203776583,0.045732155442237854,0.03301974659552798,0.41928824245658486,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,False
7,0,1e-06,affine_vertical_mode,0.07875344454078004,0.0453796312212944,0.033373813319485635,0.42377591880700577,0.03724021436782092,-0.05304534837360302,0.04414117644622922,0.04795758991699677,False
7,1,5e-06,global_delta_mode,0.427455612225458,0.2691335082054138,0.1583221040200442,0.37038256018156684,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,False
7,1,5e-06,pure_top_vertical_mode,0.4252258222550154,0.23506078124046326,0.19016504101455212,0.4472095321165769,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,False
7,1,5e-06,no_horizontal_delta_mode,0.4252447106409818,0.23892511427402496,0.18631959636695683,0.438146769858966,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,False
7,1,5e-06,affine_vertical_mode,0.4252258222550154,0.23506078124046326,0.19016504101455212,0.4472095321165769,0.19506778017232757,-0.2679494022513191,0.23118893645020147,0.2514440604316533,False
7,2,1e-05,global_delta_mode,0.8481868426315486,0.5298277735710144,0.31835906906053424,0.3753407304371839,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,False
7,2,1e-05,pure_top_vertical_mode,0.8452866459265351,0.4568352699279785,0.3884513759985566,0.4595498791688203,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,False
7,2,1e-05,no_horizontal_delta_mode,0.8453141199424863,0.465371310710907,0.3799428092315793,0.44946937507376544,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,False
7,2,1e-05,affine_vertical_mode,0.8452866459265351,0.4568352699279785,0.3884513759985566,0.4595498791688203,0.3810433901310059,-0.522998640568203,0.4483132305686858,0.48905099250530637,False
7,3,1.5e-05,global_delta_mode,1.2412937358021736,0.7674339413642883,0.4738597944378853,0.38174670569142777,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,False
7,3,1.5e-05,pure_top_vertical_mode,1.2399257393553853,0.6510688662528992,0.5888568731024861,0.47491301649131185,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,False
7,3,1.5e-05,no_horizontal_delta_mode,1.2390001211315393,0.6639482975006104,0.575051823630929,0.46412572026688137,0.5324380757206686,-0.7531592955984968,0.637770199634203,0.6986473701888352,False
