source_path,type,size_bytes,included_in_package
outputs/results/seed23_S0090_shear/curves/reaction_by_step.csv,table,19115,False
outputs/results/seed23_S0090_shear/curves/reaction_metric_availability.csv,table,338,False
outputs/results/seed23_S0090_shear/curves/stress_strain_by_step.csv,table,22513,False
outputs/results/seed23_S0090_shear/figures/final_alpha_seed23_S0090_shear.png,figure,183639,False
outputs/results/seed23_S0090_shear/figures/final_alpha_seed23_shear.png,figure,183639,False
outputs/results/seed23_S0090_shear/figures/final_disp_seed23_S0090_shear.png,figure,263369,False
outputs/results/seed23_S0090_shear/figures/final_disp_seed23_shear.png,figure,263369,False
outputs/results/seed23_S0090_shear/figures/final_displacement_seed23_S0090_shear.png,figure,263369,False
outputs/results/seed23_S0090_shear/figures/final_displacement_seed23_shear.png,figure,263369,False
outputs/results/seed23_S0090_shear/figures/final_fields_panel_seed23_S0090_shear.png,figure,712352,False
outputs/results/seed23_S0090_shear/figures/final_fields_panel_seed23_shear.png,figure,712352,False
outputs/results/seed23_S0090_shear/figures/final_He_current_seed23_S0090_shear.png,figure,54535,False
outputs/results/seed23_S0090_shear/figures/final_He_current_seed23_shear.png,figure,54535,False
outputs/results/seed23_S0090_shear/figures/final_He_history_seed23_S0090_shear.png,figure,55325,False
outputs/results/seed23_S0090_shear/figures/final_He_history_seed23_shear.png,figure,55325,False
outputs/results/seed23_S0090_shear/figures/final_He_seed23_S0090_shear.png,figure,52925,False
outputs/results/seed23_S0090_shear/figures/final_He_seed23_shear.png,figure,52925,False
outputs/results/seed23_S0090_shear/figures/final_HI_seed23_S0090_shear.png,figure,56579,False
outputs/results/seed23_S0090_shear/figures/final_HI_seed23_shear.png,figure,56579,False
outputs/results/seed23_S0090_shear/figures/final_HII_seed23_S0090_shear.png,figure,50277,False
outputs/results/seed23_S0090_shear/figures/final_HII_seed23_shear.png,figure,50277,False
outputs/results/seed23_S0090_shear/figures/final_mechanics_drive_seed23_S0090_shear.png,figure,56466,False
outputs/results/seed23_S0090_shear/figures/final_mechanics_drive_seed23_shear.png,figure,56466,False
outputs/results/seed23_S0090_shear/figures/final_u_seed23_S0090_shear.png,figure,209571,False
