seed,step,Delta,branch,reaction_N,ratio_to_legacy_abs,legacy_top_sigma_integral_N,postprocessed_sigma_virtual_work_N,is_conjugate_to_postprocessed_sigma,matches_training_mechanics_objective,alpha0p8_through_crack,I_current_active_fraction,II_current_active_fraction
7,0,1e-06,current_trial_energy,0.07881747296778485,2.116461312206909,0.03724021436782092,0.05421896275947802,True,False,False,1.0,1.0
7,0,1e-06,pre_step_history_energy,0.07881747296778485,2.116461312206909,0.03724021436782092,0.05421896275947802,False,True,False,1.0,1.0
7,0,1e-06,post_step_committed_history_energy,0.04116349737159908,1.1053507094515613,0.03724021436782092,0.05421896275947802,False,False,False,1.0,1.0
7,0,1e-06,frozen_active_branch_energy,0.07881747296778485,2.116461312206909,0.03724021436782092,0.05421896275947802,False,False,False,1.0,1.0
7,1,5e-06,current_trial_energy,0.427455612225458,2.1913183809639576,0.19506778017232757,0.2691335103008896,True,False,False,0.9990759491920471,0.9990759491920471
7,1,5e-06,pre_step_history_energy,0.427455612225458,2.1913183809639576,0.19506778017232757,0.2691335103008896,False,True,False,0.9990759491920471,0.9990759491920471
7,1,5e-06,post_step_committed_history_energy,0.214680316275917,1.100542160710822,0.19506778017232757,0.2691335103008896,False,False,False,0.9990759491920471,0.9990759491920471
7,1,5e-06,frozen_active_branch_energy,0.427455612225458,2.1913183809639576,0.19506778017232757,0.2691335103008896,False,False,False,0.9990759491920471,0.9990759491920471
7,2,1e-05,current_trial_energy,0.8481868426315486,2.2259586823955533,0.3810433901310059,0.5298277828842402,True,False,False,0.9979671239852905,0.997782289981842
7,2,1e-05,pre_step_history_energy,0.8481868426315486,2.2259586823955533,0.3810433901310059,0.5298277828842402,False,True,False,0.9979671239852905,0.997782289981842
7,2,1e-05,post_step_committed_history_energy,0.39859110256657004,1.0460517434235799,0.3810433901310059,0.5298277828842402,False,False,False,0.9979671239852905,0.997782289981842
7,2,1e-05,frozen_active_branch_energy,0.8481868426315486,2.2259586823955533,0.3810433901310059,0.5298277828842402,False,False,False,0.9979671239852905,0.997782289981842
7,3,1.5e-05,current_trial_energy,1.2412957148626447,2.331342876225595,0.5324380757206686,0.7674339576624334,True,False,False,0.9955645799636841,0.9957494139671326
7,3,1.5e-05,pre_step_history_energy,1.2412937358021736,2.331339159247863,0.5324380757206686,0.7674339576624334,False,True,False,0.9955645799636841,0.9957494139671326
7,3,1.5e-05,post_step_committed_history_energy,0.6084819906391203,1.1428220827661966,0.5324380757206686,0.7674339576624334,False,False,False,0.9955645799636841,0.9957494139671326
7,3,1.5e-05,frozen_active_branch_energy,1.2412937358021736,2.331339159247863,0.5324380757206686,0.7674339576624334,False,False,False,0.9955645799636841,0.9957494139671326
7,4,2e-05,current_trial_energy,1.586527214385569,2.4747706286780287,0.6410805090381484,0.9621469653211534,True,False,False,0.9931620955467224,0.9918684363365173
7,4,2e-05,pre_step_history_energy,1.5864964807406068,2.474722688295301,0.6410805090381484,0.9621469653211534,False,True,False,0.9931620955467224,0.9918684363365173
7,4,2e-05,post_step_committed_history_energy,0.8319803746417165,1.2977783022759288,0.6410805090381484,0.9621469653211534,False,False,False,0.9931620955467224,0.9918684363365173
7,4,2e-05,frozen_active_branch_energy,1.5864964807406068,2.474722688295301,0.6410805090381484,0.9621469653211534,False,False,False,0.9931620955467224,0.9918684363365173
7,5,2.5e-05,current_trial_energy,1.8142890185117722,2.644317523361534,0.6861086093039972,0.9398891124874353,True,False,False,0.8722971677780151,0.8571428656578064
7,5,2.5e-05,pre_step_history_energy,1.7821155488491058,2.597424845983088,0.6861086093039972,0.9398891124874353,False,True,False,0.8722971677780151,0.8571428656578064
7,5,2.5e-05,post_step_committed_history_energy,0.8941564592532814,1.3032287412343246,0.6861086093039972,0.9398891124874353,False,False,False,0.8722971677780151,0.8571428656578064
7,5,2.5e-05,frozen_active_branch_energy,1.7821155488491058,2.597424845983088,0.6861086093039972,0.9398891124874353,False,False,False,0.8722971677780151,0.8571428656578064
7,6,3e-05,current_trial_energy,1.9407698418945074,2.797885789618879,0.6936558486752507,0.4658364341594279,True,False,False,0.7030124068260193,0.7177971005439758
