case_id,step,alpha_max,alpha_max_location,HI_peak,HII_peak,HII_over_HI_peak_ratio,mechanics_drive_max,mechanics_drive_max_location,drive_location_classification,comment
A,0,0.0001125663111452,"(0.00762217212468,0.000694864778779)",2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637,4.363566404208541e-05,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,1,0.0005483329296112,"(0.00985855050385,0.00131822924595)",0.0001173634154838,7.411851402139291e-05,0.6315299679705019,0.00019195934874,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,2,0.0014091035118326,"(0.00984290055931,0.000789511133917)",0.0002700086624827,0.0001705259928712,0.6315574889458443,0.0004416330775711,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,3,0.0023020904045552,"(0.00682006310672,0.00884593464434)",0.0004382481856737,0.0002767745172604,0.631547434326343,0.0007168055162765,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,4,0.0129695637151598,"(0.00502108456567,0.00499864388257)",0.0007810589158907,0.0004932946176268,0.6315715851783846,0.0012775310315191,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,5,0.031590811908245,"(0.00504594575614,0.00504007749259)",0.0018472637748345,0.0011666872305795,0.6315758726357451,0.0030214660800993,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,6,0.0615021400153636,"(0.00502108456567,0.00499864388257)",0.0034234980121254,0.0021622034255415,0.6315772399701631,0.0055996291339397,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,7,0.1011827513575553,"(0.00502108456567,0.00499864388257)",0.0058633876033127,0.0037031869869679,0.6315780633154239,0.0095904283225536,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
A,8,0.1582225263118744,"(0.00502108456567,0.00499864388257)",0.0096437549218535,0.0060907872393727,0.6315783933466104,0.0157737750560045,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
B,0,0.0001125663111452,"(0.00762217212468,0.000694864778779)",2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637,4.363566404208541e-05,"(0.00502108456567,0.00499864388257)",notch_tip_region,finite history/drive values; diagnostic only
