case_id,step,displacement_or_Delta,engineering_strain,reaction_N_energy,nominal_stress_energy_MPa,alpha_max,HI_peak,HII_peak,HII_over_HI_peak_ratio
A,0,1e-06,0.0001,0.0788481920608319,7.884819206083193,0.0001125663111452,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637
A,1,2e-06,0.0001999999999999,0.166325582540594,16.632558254059404,0.0005483329296112,0.0001173634154838,7.411851402139291e-05,0.6315299679705019
A,2,3e-06,0.0003,0.2537661348469555,25.376613484695557,0.0014091035118326,0.0002700086624827,0.0001705259928712,0.6315574889458443
A,3,3.8e-06,0.00038,0.3235881158616394,32.35881158616394,0.0023020904045552,0.0004382481856737,0.0002767745172604,0.631547434326343
A,4,5e-06,0.0005,0.4271147190593183,42.71147190593183,0.0129695637151598,0.0007810589158907,0.0004932946176268,0.6315715851783846
A,5,7.5e-06,0.00075,0.6399094127118587,63.99094127118588,0.031590811908245,0.0018472637748345,0.0011666872305795,0.6315758726357451
A,6,1e-05,0.001,0.8478904492221773,84.78904492221773,0.0615021400153636,0.0034234980121254,0.0021622034255415,0.6315772399701631
A,7,1.25e-05,0.00125,1.0486713144928217,104.86713144928216,0.1011827513575553,0.0058633876033127,0.0037031869869679,0.6315780633154239
A,8,1.5e-05,0.0015,1.2404142180457711,124.04142180457713,0.1582225263118744,0.0096437549218535,0.0060907872393727,0.6315783933466104
B,0,1e-06,0.0001,0.0788481920608319,7.884819206083193,0.0001125663111452,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637
B,1,2e-06,0.0001999999999999,0.166325582540594,16.632558254059404,0.0005483329296112,0.0001173634154838,7.411851402139291e-05,0.6315299679705019
B,2,3e-06,0.0003,0.2537661348469555,25.376613484695557,0.0014091035118326,0.0002700086624827,0.0001705259928712,0.6315574889458443
B,3,3.8e-06,0.00038,0.3235881158616394,32.35881158616394,0.0023020904045552,0.0004382481856737,0.0002767745172604,0.631547434326343
B,4,5e-06,0.0005,0.4271147190593183,42.71147190593183,0.0129695637151598,0.0007810589158907,0.0004932946176268,0.6315715851783846
B,5,7.5e-06,0.00075,0.6399094127118587,63.99094127118588,0.031590811908245,0.0018472637748345,0.0011666872305795,0.6315758726357451
B,6,1e-05,0.001,0.8478904492221773,84.78904492221773,0.0615021400153636,0.0034234980121254,0.0021622034255415,0.6315772399701631
B,7,1.25e-05,0.00125,1.0486713144928217,104.86713144928216,0.1011827513575553,0.0058633876033127,0.0037031869869679,0.6315780633154239
B,8,1.5e-05,0.0015,1.2404142180457711,124.04142180457713,0.1582225263118744,0.0096437549218535,0.0060907872393727,0.6315783933466104
C,0,1e-06,0.0001,-0.1475552271585911,-14.755522715859115,0.0037029585801064,0.0001485774700995,6.712823960697278e-05,0.4518063173509285
C,1,2e-06,0.0001999999999999,-0.0172323907463578,-1.723239074635785,0.0028232019394636,0.0001485774700995,6.712823960697278e-05,0.4518063173509285
C,2,3e-06,0.0003,-0.0019457493181107,-0.1945749318110756,0.0021203514188528,0.0001485774700995,6.712823960697278e-05,0.4518063173509285
C,3,3.8e-06,0.00038,0.0015104857311598,0.151048573115986,0.003054020460695,0.0001485774700995,6.712823960697278e-05,0.4518063173509285
C,4,5e-06,0.0005,0.0050749372348946,0.5074937234894605,0.0030258144252002,0.0001485774700995,6.712823960697278e-05,0.4518063173509285
C,5,7.5e-06,0.00075,0.3071600222028792,30.71600222028792,0.0031439703889191,0.0003941476752515,0.0002489298058208,0.6315648206270947
C,6,1e-05,0.001,0.5282276542857289,52.82276542857289,0.0161551646888256,0.0012723034014925,0.0008035546052269,0.6315746733713631
C,7,1.25e-05,0.00125,0.7399636087939143,73.99636087939143,0.0219932794570922,0.0024339482188224,0.0015372253255918,0.6315768403386761
C,8,1.5e-05,0.0015,0.9441127767786384,94.41127767786384,0.036508958786726,0.0041668526828289,0.0026316905859857,0.6315775445651298
