case_id,step,converged_or_completed,final_loss_or_available_metric,rprop_iterations,lbfgs_iterations,checkpoint_written,comment
A,0,completed,-10.439687728881836,300,1,True,loss_records=172; optimizer split details not stored beyond configured counts
A,1,completed,-9.796181678771973,300,1,True,loss_records=279; optimizer split details not stored beyond configured counts
A,2,completed,-9.430025100708008,300,1,True,loss_records=168; optimizer split details not stored beyond configured counts
A,3,completed,-9.218903541564941,300,1,True,loss_records=141; optimizer split details not stored beyond configured counts
A,4,completed,-8.975855827331543,300,1,True,loss_records=204; optimizer split details not stored beyond configured counts
A,5,completed,-8.619726181030273,300,1,True,loss_records=176; optimizer split details not stored beyond configured counts
A,6,completed,-8.369097709655762,300,1,True,loss_records=144; optimizer split details not stored beyond configured counts
A,7,completed,-8.176259994506836,300,1,True,loss_records=126; optimizer split details not stored beyond configured counts
A,8,completed,-8.020060539245605,300,1,True,loss_records=138; optimizer split details not stored beyond configured counts
B,0,completed,-10.439687728881836,300,1,True,loss_records=172; optimizer split details not stored beyond configured counts
B,1,completed,-9.796181678771973,300,1,True,loss_records=279; optimizer split details not stored beyond configured counts
B,2,completed,-9.430025100708008,300,1,True,loss_records=168; optimizer split details not stored beyond configured counts
B,3,completed,-9.218903541564941,300,1,True,loss_records=141; optimizer split details not stored beyond configured counts
B,4,completed,-8.975855827331543,300,1,True,loss_records=204; optimizer split details not stored beyond configured counts
B,5,completed,-8.619726181030273,300,1,True,loss_records=176; optimizer split details not stored beyond configured counts
B,6,completed,-8.369097709655762,300,1,True,loss_records=144; optimizer split details not stored beyond configured counts
B,7,completed,-8.176259994506836,300,1,True,loss_records=126; optimizer split details not stored beyond configured counts
B,8,completed,-8.020060539245605,300,1,True,loss_records=138; optimizer split details not stored beyond configured counts
C,0,completed,-9.516209602355957,300,1,True,loss_records=309; optimizer split details not stored beyond configured counts
C,1,completed,-9.607389450073242,300,1,True,loss_records=1291; optimizer split details not stored beyond configured counts
C,2,completed,-9.615022659301758,300,1,True,loss_records=867; optimizer split details not stored beyond configured counts
C,3,completed,-9.615406036376953,300,1,True,loss_records=688; optimizer split details not stored beyond configured counts
C,4,completed,-9.614323616027832,300,1,True,loss_records=685; optimizer split details not stored beyond configured counts
C,5,completed,-9.212997436523438,300,1,True,loss_records=1484; optimizer split details not stored beyond configured counts
C,6,completed,-8.779278755187988,300,1,True,loss_records=915; optimizer split details not stored beyond configured counts
C,7,completed,-8.487608909606934,300,1,True,loss_records=879; optimizer split details not stored beyond configured counts
C,8,completed,-8.26987075805664,300,1,True,loss_records=418; optimizer split details not stored beyond configured counts
