comparison,step,diff_min,diff_p01,diff_p05,diff_median,diff_mean,diff_p95,diff_p99,diff_max,positive_diff_fraction,negative_diff_fraction,comment
C_minus_A,0,-0.0013171974351280369,-0.0012772713893355104,-0.0011264073255006224,-0.00018079401343129575,-0.0003028622237662164,0.00010063561967399437,0.00019775725431827294,0.003657205499621341,0.17205692108667528,0.8279430789133247,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,0,-0.0013171974351280369,-0.0012772713893355104,-0.0011264073255006224,-0.00018079401343129575,-0.0003028622237662164,0.00010063561967399437,0.00019775725431827294,0.003657205499621341,0.17205692108667528,0.8279430789133247,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,1,-0.0009854196396190673,-0.000835378219926497,-0.0006902774875925388,-7.988969673533575e-05,-0.00015099450202839078,9.616546412871685e-05,0.00012248809143784438,0.0028443886894820025,0.25854740343744226,0.7414525965625578,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,1,-0.0009854196396190673,-0.000835378219926497,-0.0006902774875925388,-7.988969673533575e-05,-0.00015099450202839078,9.616546412871685e-05,0.00012248809143784438,0.0028443886894820025,0.25854740343744226,0.7414525965625578,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,2,-0.0014848010905552655,-0.0006680027217953466,-0.0005280669174680952,-6.465498881880194e-05,-0.00012111956882985277,5.984866675134981e-05,9.091307329072145e-05,0.0010346685994591098,0.2535575679172057,0.7464424320827943,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,2,-0.0014848010905552655,-0.0006680027217953466,-0.0005280669174680952,-6.465498881880194e-05,-0.00012111956882985277,5.984866675134981e-05,9.091307329072145e-05,0.0010346685994591098,0.2535575679172057,0.7464424320827943,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,3,-0.0023159991096690646,-0.0012712118172203191,-0.0005156975748832338,-4.8502444769837894e-05,-0.0001271372360206607,6.61384347040439e-05,9.42014487009146e-05,0.0010517420851101633,0.28885603400480503,0.711143965995195,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,3,-0.0023159991096690646,-0.0012712118172203191,-0.0005156975748832338,-4.8502444769837894e-05,-0.0001271372360206607,6.61384347040439e-05,9.42014487009146e-05,0.0010517420851101633,0.28885603400480503,0.711143965995195,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,4,-0.01307382861705264,-0.006148956644028658,-0.0034700185096880887,-0.00012737020733766258,-0.000987845855224747,9.65216613622033e-05,0.00012833767541451375,0.0010078285122290254,0.35150619109221953,0.6484938089077804,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,4,-0.01307382861705264,-0.006148956644028658,-0.0034700185096880887,-0.00012737020733766258,-0.000987845855224747,9.65216613622033e-05,0.00012833767541451375,0.0010078285122290254,0.35150619109221953,0.6484938089077804,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
