case_id,step,alpha_min,alpha_p01,alpha_p05,alpha_p25,alpha_median,alpha_mean,alpha_p75,alpha_p95,alpha_p99,alpha_max,alpha_std,comment
A,0,-0.0002172995446017012,-0.00020827863772865385,-0.00018597485177451745,-8.530545892426744e-05,-5.089291516924277e-05,-6.37480467683564e-05,-2.702729125303449e-05,-6.313840913207969e-06,9.279585356125535e-06,0.00011256631114520133,5.219829013554887e-05,Raw element alpha distribution from existing field file.
A,1,-0.00022216558863874525,-0.0002032231888733804,-0.00017272004333790392,-7.335127156693488e-05,-4.520687070908025e-05,-5.587054527502278e-05,-2.644586766109569e-05,-7.965327313286252e-06,0.00012327403528615823,0.0005483329296112061,5.755029928712686e-05,Raw element alpha distribution from existing field file.
A,2,-0.0002122118603438139,-0.00018578579474706202,-0.00014472486509475857,-7.59457798267249e-05,-4.3233241740381345e-05,-4.794027619330695e-05,-2.6380062990938313e-05,-9.657662303652614e-06,0.0003301033750176325,0.0014091035118326545,0.00010005537612565412,Raw element alpha distribution from existing field file.
A,3,-0.00022225994325708598,-0.00018542143370723352,-0.000148752260429319,-7.520811413996853e-05,-3.981257032137364e-05,1.3278850913969487e-06,-2.5033792553585954e-05,0.00041636789683252573,0.0012382299406453955,0.0023020904045552015,0.00026216595654376165,Raw element alpha distribution from existing field file.
A,4,-0.0002979111741296947,-0.0002357275370741263,-0.00015855007950449362,-7.766493945382535e-05,-1.880900344986003e-05,0.0009118097721903909,0.0020234386902302504,0.0033879480324685574,0.00606051017530261,0.012969563715159893,0.001531034279827723,Raw element alpha distribution from existing field file.
A,5,-0.00045084088924340904,-0.0002800133777782321,-0.00017839720385381952,-6.14322088949848e-05,0.003625154495239258,0.0030953725052760965,0.0051982207223773,0.008183395490050316,0.018635614402592142,0.03159081190824509,0.0038197692121074095,Raw element alpha distribution from existing field file.
A,6,-0.0005693418206647038,-0.0003675544838188216,-0.0002359205245738849,-7.064923192956485e-05,0.007525335066020489,0.005864659795693541,0.009259487502276897,0.013960257638245821,0.03287198655307276,0.06150214001536369,0.006709712189409268,Raw element alpha distribution from existing field file.
A,7,-0.0006906410562805831,-0.0004535678279353306,-0.00026363089273218066,-7.381618706858717e-05,0.012043188326060772,0.009295513109126277,0.014539713971316814,0.02161313220858574,0.0525844138115644,0.10118275135755539,0.010697641950904044,Raw element alpha distribution from existing field file.
A,8,-0.0008594667888246477,-0.0006045150279533118,-0.0003367966419318691,-9.198984480462968e-05,0.017386943101882935,0.013433226788508073,0.0208494970574975,0.03125108405947685,0.08010052144527424,0.1582225263118744,0.016033070212249607,Final A/B reference distribution; peak is notch-tip dominated.
B,0,-0.0002172995446017012,-0.00020827863772865385,-0.00018597485177451745,-8.530545892426744e-05,-5.089291516924277e-05,-6.37480467683564e-05,-2.702729125303449e-05,-6.313840913207969e-06,9.279585356125535e-06,0.00011256631114520133,5.219829013554887e-05,Raw element alpha distribution from existing field file.
