case_id,step,field_pair,pearson_correlation,spearman_correlation,top_alpha_region_drive_mean,domain_drive_mean,top_drive_region_alpha_mean,domain_alpha_mean,interpretation
A,0,alpha vs HI,0.08389273388818852,0.10404484686689117,3.057347176349821e-07,2.555243803709751e-07,-6.414748233134302e-05,-6.37480467683564e-05,Little spatial alignment.
A,0,alpha vs HII,0.08178004205413301,0.0949699920700876,1.893974316411727e-07,1.583753739771976e-07,-6.453962107378013e-05,-6.37480467683564e-05,Little spatial alignment.
A,0,alpha vs He,0.0831045186115204,0.10088925861682865,4.963521255799181e-07,4.149199065488025e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
A,0,alpha vs mechanics_drive,0.0831045186115204,0.10088925861682865,4.963521255799181e-07,4.149199065488025e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
A,0,alpha vs elastic_energy_density,0.08361876630930304,0.1055076949280131,4.988732372478519e-07,4.1661890909461797e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
A,0,alpha vs fracture_energy_density,-0.9373597802166822,-0.9736560804704537,9.62709497458985e-12,5.6158938449583226e-11,-0.00019960848538753167,-6.37480467683564e-05,Strong spatial alignment.
A,1,alpha vs HI,0.09089338045690956,0.1757692285747647,1.4808089723367337e-06,1.128000295657296e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
A,1,alpha vs HII,0.09061085353344674,0.17101854966439398,9.281598316988487e-07,7.031093755123847e-07,-6.80857713991676e-05,-5.587054527502278e-05,Weak spatial alignment.
A,1,alpha vs He,0.09082220194488402,0.174279003654612,2.4149474085541183e-06,1.8356386482151926e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
A,1,alpha vs mechanics_drive,0.09082220194488402,0.174279003654612,2.4149474085541183e-06,1.8356386482151926e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
A,1,alpha vs elastic_energy_density,0.09094508070757845,0.1733837672496427,2.4169620781538802e-06,1.8405151975116862e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
A,1,alpha vs fracture_energy_density,-0.05216755897285184,-0.8972445665800668,2.0058666439199204e-10,5.704741896142019e-11,-0.00010250665556628264,-5.587054527502278e-05,Strong spatial alignment.
A,2,alpha vs HI,0.05046126335982845,0.023701713727400566,2.6034944181003078e-06,2.6248169507594444e-06,-2.8465268524657682e-05,-4.794027619330695e-05,Little spatial alignment.
A,2,alpha vs HII,0.05002511025925547,0.020217125110457645,1.6324641152452893e-06,1.639122902817973e-06,-2.3870320211241332e-05,-4.794027619330695e-05,Little spatial alignment.
A,2,alpha vs He,0.050311933162290615,0.022650844915634048,4.246473827779883e-06,4.274498025346712e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
A,2,alpha vs mechanics_drive,0.050311933162290615,0.022650844915634048,4.246473827779883e-06,4.274498025346712e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
A,2,alpha vs elastic_energy_density,0.05024769599306509,0.018610345394576042,4.260922527918638e-06,4.283072366788313e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
A,2,alpha vs fracture_energy_density,0.8338836584121133,-0.8770550591825788,1.4549207214199187e-09,1.1471370774725242e-10,6.101288822199462e-05,-4.794027619330695e-05,Strong spatial alignment.
A,3,alpha vs HI,0.07592238972908968,0.2523120266741007,6.190693105514161e-06,4.270052421346841e-06,-6.1926645560987376e-06,1.3278850913969487e-06,Weak spatial alignment.
A,3,alpha vs HII,0.07717739787461808,0.24970745462491578,3.904873279777358e-06,2.6690600843247465e-06,-5.588977916560967e-06,1.3278850913969487e-06,Weak spatial alignment.
A,3,alpha vs He,0.07643200883036809,0.251677004147538,1.0120719052356704e-05,6.956304868536774e-06,-5.255159330470539e-06,1.3278850913969487e-06,Weak spatial alignment.
A,3,alpha vs mechanics_drive,0.07643200883036809,0.251677004147538,1.0120719052356704e-05,6.956304868536774e-06,-5.255159330470539e-06,1.3278850913969487e-06,Weak spatial alignment.
A,3,alpha vs elastic_energy_density,0.07589514902168118,0.24854111715525837,1.009885881022855e-05,6.966998137011171e-06,-6.894869514282645e-06,1.3278850913969487e-06,Weak spatial alignment.
A,3,alpha vs fracture_energy_density,0.9310772250338986,-0.6229535276506639,1.195231584881818e-08,7.117200273984997e-10,0.0010311493147044301,1.3278850913969487e-06,Strong spatial alignment.
A,4,alpha vs HI,0.5765360049792143,0.7033310765192147,3.113454921499749e-05,7.502861599371263e-06,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
A,4,alpha vs HII,0.5640147124977075,0.7070245406537814,1.90200660350503e-05,4.690222993694098e-06,0.003693752739352904,0.0009118097721903909,Moderate spatial alignment.
A,4,alpha vs He,0.5719078340747511,0.7046085650710588,5.027713034056815e-05,1.2223296005368411e-05,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
A,4,alpha vs mechanics_drive,0.5719078340747511,0.7046085650710588,5.027713034056815e-05,1.2223296005368411e-05,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
A,4,alpha vs elastic_energy_density,0.5738838944806433,0.6948500645898973,4.952508880635386e-05,1.217581570465912e-05,0.0036983984564391815,0.0009118097721903909,Moderate spatial alignment.
A,4,alpha vs fracture_energy_density,0.7614948426485375,0.569202819393708,3.191681307765811e-07,3.216515567378496e-08,0.004831740864839514,0.0009118097721903909,Strong spatial alignment.
A,5,alpha vs HI,0.6709954080028631,0.9227463949041622,8.176414761326474e-05,1.7193851114623887e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
A,5,alpha vs HII,0.6618426828369416,0.9270486318769046,5.0073987796961496e-05,1.0745468646357098e-05,0.01324780454783532,0.0030953725052760965,Strong spatial alignment.
A,5,alpha vs He,0.6676973066044546,0.9242227997330178,0.00013216067980371626,2.800853513359392e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
A,5,alpha vs mechanics_drive,0.6676973066044546,0.9242227997330178,0.00013216067980371626,2.800853513359392e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
A,5,alpha vs elastic_energy_density,0.677949488083352,0.9189373804242805,0.00012718631924597644,2.7580065631427546e-05,0.01326380967853309,0.0030953725052760965,Strong spatial alignment.
A,5,alpha vs fracture_energy_density,0.8113134631504151,0.8162927747038746,2.0058897175625226e-06,2.0977012036721805e-07,0.013672581372088393,0.0030953725052760965,Strong spatial alignment.
A,6,alpha vs HI,0.6974314827570599,0.9365343603423413,0.00015088017380213384,3.096713346689333e-05,0.023673016227424366,0.005864659795693541,Strong spatial alignment.
A,6,alpha vs HII,0.6875351002466519,0.9421921451284956,9.233912851707717e-05,1.934869975131888e-05,0.02365463045924022,0.005864659795693541,Strong spatial alignment.
A,6,alpha vs He,0.693861434885266,0.9384228798900457,0.000243814092061334,5.044046510401422e-05,0.02367617864491645,0.005864659795693541,Strong spatial alignment.
