case_id,step,threshold,count_above_threshold,fraction_above_threshold,notch_connected_count,largest_component_count,largest_component_fraction,x_min,x_max,y_min,y_max,x_span,y_span,centroid_x,centroid_y,comment
A,0,0.0001,2,0.00036961744594344855,0,2,1.0,0.007622172124683857,0.007887078449130058,0.0005578615237027407,0.0006948647787794471,0.0002649063244462013,0.0001370032550767064,0.007754625286906958,0.0006263631512410939,Above-threshold set is present but not connected to the notch seed window.
A,0,0.001,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,0,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.0001,62,0.011458140824246904,0,16,0.25806451612903225,0.004759480245411396,0.009894595481455326,0.0001418102765455842,0.009879717603325844,0.00513511523604393,0.00973790732678026,0.007807942640577112,0.0037117212501001514,Above-threshold set is present but not connected to the notch seed window.
A,1,0.001,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,1,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.0001,83,0.015339124006653115,0,43,0.5180722891566265,0.004467466846108437,0.009955729357898235,0.00011349347187206149,0.009855893440544605,0.005488262511789799,0.009742399968672544,0.007262087000691029,0.006892499140308082,Above-threshold set is present but not connected to the notch seed window.
A,2,0.001,13,0.0024025133986324155,0,9,0.6923076923076923,0.00550953671336174,0.00988017488270998,0.00011349347187206149,0.008836301974952221,0.00437063816934824,0.00872280850308016,0.008448477118061138,0.0030130367544748318,Above-threshold set is present but not connected to the notch seed window.
A,2,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,2,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.0001,346,0.06394381814821659,7,186,0.5375722543352601,0.004467466846108437,0.009975368157029152,0.00011349347187206149,0.009858266450464725,0.005507901310920715,0.009744772978592664,0.0082991291470072,0.0062978853360292865,Above-threshold set includes a notch-seeded connected component.
A,3,0.001,157,0.029014969506560708,0,86,0.5477707006369427,0.004993708338588476,0.009968066588044167,0.00011349347187206149,0.009855144657194614,0.00497435824945569,0.009741651185322553,0.009043639674070915,0.005957404247212229,Above-threshold set is present but not connected to the notch seed window.
A,3,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,3,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,4,0.0001,2146,0.39659951949732025,2131,2131,0.9930102516309413,0.0038441866636276245,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006131181493401527,0.009766224131453782,0.007601575077947955,0.005506529346127315,Above-threshold set includes a notch-seeded connected component.
A,4,0.001,1909,0.3527998521530216,1900,1900,0.9952854897852279,0.0045038736425340176,0.009975368157029152,0.00011349347187206149,0.009861581027507782,0.005471494514495134,0.00974808755563572,0.007710726519450428,0.005545455722979903,Above-threshold set includes a notch-seeded connected component.
A,4,0.005,83,0.015339124006653115,83,83,1.0,0.004827979952096939,0.005814222153276205,0.004764621611684561,0.005395104177296162,0.000986242201179266,0.0006304825656116009,0.00524494047444987,0.005073968046176505,Above-threshold set includes a notch-seeded connected component.
A,4,0.01,20,0.0036961744594344852,20,19,0.95,0.004947827197611332,0.005255341064184904,0.004882340785115957,0.005110356491059065,0.00030751386657357216,0.0002280157059431076,0.005100596486590803,0.004988230927847326,Above-threshold set includes a notch-seeded connected component.
A,4,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,4,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,4,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,4,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,5,0.0001,2976,0.5499907595638515,2966,2966,0.9966397849462365,0.00311293825507164,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006862429901957512,0.009766224131453782,0.0072314237415451324,0.005040668874175691,Above-threshold set includes a notch-seeded connected component.
A,5,0.001,2873,0.5309554610977638,2873,2873,1.0,0.003644278272986412,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.00633108988404274,0.009766224131453782,0.007331882101823043,0.005060530428643692,Above-threshold set includes a notch-seeded connected component.
A,5,0.005,1574,0.290888929957494,1530,1530,0.9720457433290979,0.004659169353544712,0.009969426319003105,0.00011349347187206149,0.009861581027507782,0.005310256965458393,0.00974808755563572,0.006922154941772415,0.00501917253682991,Above-threshold set includes a notch-seeded connected component.
A,5,0.01,164,0.030308630567362778,164,164,1.0,0.0047355941496789455,0.005767730064690113,0.00435566995292902,0.005671154707670212,0.0010321359150111675,0.0013154847547411919,0.0052318572061045504,0.0049966790673618275,Above-threshold set includes a notch-seeded connected component.
A,5,0.02,45,0.008316392533727592,45,45,1.0,0.0049160742200911045,0.005349135957658291,0.004696774296462536,0.005202072206884623,0.00043306173756718636,0.0005052979104220867,0.005111798871722487,0.00495317287536131,Above-threshold set includes a notch-seeded connected component.
A,5,0.03,2,0.00036961744594344855,2,2,1.0,0.005021084565669298,0.005045945756137371,0.004998643882572651,0.005040077492594719,2.486119046807289e-05,4.1433610022068024e-05,0.005033515160903335,0.005019360687583685,Above-threshold set includes a notch-seeded connected component.
A,5,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,5,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,6,0.0001,3353,0.6196636481241915,3353,3353,1.0,0.00311293825507164,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006862429901957512,0.009766224131453782,0.0069108367130263654,0.00496255352177518,Above-threshold set includes a notch-seeded connected component.
A,6,0.001,3236,0.5980410275364997,3236,3236,1.0,0.0035896804183721542,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006385687738656998,0.009766224131453782,0.007020706777968553,0.004963568161695788,Above-threshold set includes a notch-seeded connected component.
A,6,0.005,2920,0.5396414710774349,2920,2920,1.0,0.004526229575276375,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.005449138581752777,0.009766224131453782,0.007308299754178535,0.0050293645166725395,Above-threshold set includes a notch-seeded connected component.
A,6,0.01,908,0.16780632045832564,824,824,0.9074889867841409,0.004659169353544712,0.009941400028765202,0.00011349347187206149,0.009861581027507782,0.0052822306752204895,0.00974808755563572,0.006190139810054149,0.0051965208019847655,Above-threshold set includes a notch-seeded connected component.
A,6,0.02,129,0.02384032526335243,129,129,1.0,0.004795464221388102,0.00563974492251873,0.004458637908101082,0.005566840525716543,0.0008442807011306286,0.0011082026176154613,0.005175488751901444,0.005014837762817394,Above-threshold set includes a notch-seeded connected component.
