case_id,step,displacement_mm,engineering_strain,HI_peak,HII_peak,HII_over_HI_ratio,He_peak,mechanics_drive_peak,mechanics_drive_x,mechanics_drive_y,drive_location_classification,finite,comment
A,0,1e-06,0.0001,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637,4.363566404208541e-05,4.363566404208541e-05,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,1,2e-06,0.0001999999999999,0.00011736341548385099,7.411851402139291e-05,0.6315299679702274,0.00019195934874005616,0.00019195934874005616,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,2,3e-06,0.0003,0.0002700086624827236,0.00017052599287126213,0.6315574889460192,0.00044163307757116854,0.00044163307757116854,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,3,3.8e-06,0.00038,0.0004382481856737286,0.00027677451726049185,0.6315474343265113,0.0007168055162765086,0.0007168055162765086,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,4,5e-06,0.0005,0.0007810589158907533,0.000493294617626816,0.6315715851783621,0.0012775310315191746,0.0012775310315191746,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,5,7.5e-06,0.00075,0.0018472637748345733,0.001166687230579555,0.6315758726357499,0.0030214660800993443,0.0030214660800993443,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,6,1e-05,0.001,0.003423498012125492,0.00216220342554152,0.6315772399701519,0.005599629133939743,0.005599629133939743,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,7,1.25e-05,0.00125,0.005863387603312731,0.0037031869869679213,0.6315780633154242,0.009590428322553635,0.009590428322553635,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,8,1.5e-05,0.0015,0.009643754921853542,0.00609078723937273,0.6315783933466108,0.015773775056004524,0.015773775056004524,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,9,1.75e-05,0.0017499999999999,0.015810448676347733,0.009985541924834251,0.631578655941151,0.025860311463475227,0.025860311463475227,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
A,10,2e-05,0.002,0.027083341032266617,0.017105262726545334,0.631578751903852,0.04429878294467926,0.04429878294467926,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,0,1e-06,0.0001,2.668159686436411e-05,1.6845557183842175e-05,0.6313549098832637,4.363566404208541e-05,4.363566404208541e-05,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,1,2e-06,0.0001999999999999,0.00011736341548385099,7.411851402139291e-05,0.6315299679702274,0.00019195934874005616,0.00019195934874005616,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,2,3e-06,0.0003,0.0002700086624827236,0.00017052599287126213,0.6315574889460192,0.00044163307757116854,0.00044163307757116854,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,3,3.8e-06,0.00038,0.0004382481856737286,0.00027677451726049185,0.6315474343265113,0.0007168055162765086,0.0007168055162765086,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,4,5e-06,0.0005,0.0007810589158907533,0.000493294617626816,0.6315715851783621,0.0012775310315191746,0.0012775310315191746,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,5,7.5e-06,0.00075,0.0018472637748345733,0.001166687230579555,0.6315758726357499,0.0030214660800993443,0.0030214660800993443,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,6,1e-05,0.001,0.003423498012125492,0.00216220342554152,0.6315772399701519,0.005599629133939743,0.005599629133939743,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,7,1.25e-05,0.00125,0.005863387603312731,0.0037031869869679213,0.6315780633154242,0.009590428322553635,0.009590428322553635,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,8,1.5e-05,0.0015,0.009643754921853542,0.00609078723937273,0.6315783933466108,0.015773775056004524,0.015773775056004524,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
B,9,1.75e-05,0.0017499999999999,0.015810448676347733,0.009985541924834251,0.631578655941151,0.025860311463475227,0.025860311463475227,0.005021084565669298,0.004998643882572651,notch_tip_region,True,mechanics-drive location is based on the raw element maximum
