case_id,step,displacement_mm,engineering_strain,alpha_max,alpha_max_x,alpha_max_y,notch_window_alpha_max,notch_window_alpha_mean,notch_window_alpha_p95,comment
A,0,1e-06,0.0001,0.00011256631114520133,0.007622172124683857,0.0006948647787794471,-8.827528290566988e-06,-4.5113328655731976e-05,-1.68292368471157e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,1,2e-06,0.0001999999999999,0.0005483329296112061,0.009858550503849983,0.0013182292459532619,-2.1178962924750522e-05,-4.935336918394681e-05,-2.805557451210917e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,2,3e-06,0.0003,0.0014091035118326545,0.009842900559306145,0.000789511133916676,8.040491957217455e-05,-3.3151557034540166e-05,-1.6885122386156614e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,3,3.8e-06,0.00038,0.0023020904045552015,0.006820063106715679,0.008845934644341469,0.00038675786345265806,-1.7347506624514918e-05,0.0001375108782667666,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,4,5e-06,0.0005,0.012969563715159893,0.005021084565669298,0.004998643882572651,0.012969563715159893,0.007012301684432577,0.012507508322596549,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,5,7.5e-06,0.00075,0.03159081190824509,0.005045945756137371,0.005040077492594719,0.03159081190824509,0.020845237455955925,0.029685305058956144,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,6,1e-05,0.001,0.06150214001536369,0.005021084565669298,0.004998643882572651,0.06150214001536369,0.03815084605235351,0.057743984460830684,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,7,1.25e-05,0.00125,0.10118275135755539,0.005021084565669298,0.004998643882572651,0.10118275135755539,0.0628975515241084,0.09605097472667694,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,8,1.5e-05,0.0015,0.1582225263118744,0.005021084565669298,0.004998643882572651,0.1582225263118744,0.09751164045644133,0.15145934820175172,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,9,1.75e-05,0.0017499999999999,0.23520593345165253,0.005021084565669298,0.004998643882572651,0.23520593345165253,0.14266796063070428,0.22286792397499083,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
A,10,2e-05,0.002,0.3446520268917084,0.005021084565669298,0.004998643882572651,0.3446520268917084,0.20324859109847512,0.3266243517398834,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
B,0,1e-06,0.0001,0.00011256631114520133,0.007622172124683857,0.0006948647787794471,-8.827528290566988e-06,-4.5113328655731976e-05,-1.68292368471157e-05,"notch-tip window centered at (0.005,0.005) mm with half-width 3e-4 mm"
