case_id,step,threshold,count_above_threshold,fraction_above_threshold,notch_connected_count,largest_component_count,largest_component_fraction,x_span,y_span,centroid_x,centroid_y,physical_interpretation_allowed,comment
A,0,0.0001,2,0.00036961744594344855,0,2,1.0,0.0002649063244462013,0.0001370032550767064,0.007754625286906958,0.0006263631512410939,False,low-background diagnostic threshold only; do not interpret as crack growth
A,0,0.001,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,0,0.005,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,0,0.01,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,0,0.02,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,0,0.03,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,0,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,0,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,0,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,0,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.0001,62,0.011458140824246904,0,16,0.25806451612903225,0.00513511523604393,0.00973790732678026,0.007807942640577112,0.0037117212501001514,False,low-background diagnostic threshold only; do not interpret as crack growth
A,1,0.001,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,1,0.005,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,1,0.01,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,1,0.02,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.03,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,1,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.0001,83,0.015339124006653115,0,43,0.5180722891566265,0.005488262511789799,0.009742399968672544,0.007262087000691029,0.006892499140308082,False,low-background diagnostic threshold only; do not interpret as crack growth
A,2,0.001,13,0.0024025133986324155,0,9,0.6923076923076923,0.00437063816934824,0.00872280850308016,0.008448477118061138,0.0030130367544748318,False,low-background diagnostic threshold only; do not interpret as crack growth
A,2,0.005,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,2,0.01,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,2,0.02,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.03,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,2,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.0001,346,0.06394381814821659,7,186,0.5375722543352601,0.005507901310920715,0.009744772978592664,0.0082991291470072,0.0062978853360292865,False,low-background diagnostic threshold only; do not interpret as crack growth
A,3,0.001,157,0.029014969506560708,0,86,0.5477707006369427,0.00497435824945569,0.009741651185322553,0.009043639674070915,0.005957404247212229,False,low-background diagnostic threshold only; do not interpret as crack growth
A,3,0.005,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,3,0.01,0,0.0,0,0,0.0,,,,,False,low-background diagnostic threshold only; do not interpret as crack growth
A,3,0.02,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.03,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,3,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.0001,2146,0.39659951949732025,2131,2131,0.9930102516309413,0.006131181493401527,0.009766224131453782,0.007601575077947955,0.005506529346127315,False,low-background diagnostic threshold only; do not interpret as crack growth
A,4,0.001,1909,0.3527998521530216,1900,1900,0.9952854897852279,0.005471494514495134,0.00974808755563572,0.007710726519450428,0.005545455722979903,False,low-background diagnostic threshold only; do not interpret as crack growth
A,4,0.005,83,0.015339124006653115,83,83,1.0,0.000986242201179266,0.0006304825656116009,0.00524494047444987,0.005073968046176505,False,low-background diagnostic threshold only; do not interpret as crack growth
A,4,0.01,20,0.0036961744594344852,20,19,0.95,0.00030751386657357216,0.0002280157059431076,0.005100596486590803,0.004988230927847326,False,low-background diagnostic threshold only; do not interpret as crack growth
A,4,0.02,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.03,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,4,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,5,0.0001,2976,0.5499907595638515,2966,2966,0.9966397849462365,0.006862429901957512,0.009766224131453782,0.0072314237415451324,0.005040668874175691,False,low-background diagnostic threshold only; do not interpret as crack growth
A,5,0.001,2873,0.5309554610977638,2873,2873,1.0,0.00633108988404274,0.009766224131453782,0.007331882101823043,0.005060530428643692,False,low-background diagnostic threshold only; do not interpret as crack growth
A,5,0.005,1574,0.290888929957494,1530,1530,0.9720457433290979,0.005310256965458393,0.00974808755563572,0.006922154941772415,0.00501917253682991,False,low-background diagnostic threshold only; do not interpret as crack growth
A,5,0.01,164,0.030308630567362778,164,164,1.0,0.0010321359150111675,0.0013154847547411919,0.0052318572061045504,0.0049966790673618275,False,low-background diagnostic threshold only; do not interpret as crack growth
A,5,0.02,45,0.008316392533727592,45,45,1.0,0.00043306173756718636,0.0005052979104220867,0.005111798871722487,0.00495317287536131,True,high-threshold region is notch-connected and alpha-He Spearman=0.924
A,5,0.03,2,0.00036961744594344855,2,2,1.0,2.486119046807289e-05,4.1433610022068024e-05,0.005033515160903335,0.005019360687583685,True,high-threshold region is notch-connected and alpha-He Spearman=0.924
A,5,0.05,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,5,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,5,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,5,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,6,0.0001,3353,0.6196636481241915,3353,3353,1.0,0.006862429901957512,0.009766224131453782,0.0069108367130263654,0.00496255352177518,False,low-background diagnostic threshold only; do not interpret as crack growth
A,6,0.001,3236,0.5980410275364997,3236,3236,1.0,0.006385687738656998,0.009766224131453782,0.007020706777968553,0.004963568161695788,False,low-background diagnostic threshold only; do not interpret as crack growth
A,6,0.005,2920,0.5396414710774349,2920,2920,1.0,0.005449138581752777,0.009766224131453782,0.007308299754178535,0.0050293645166725395,False,low-background diagnostic threshold only; do not interpret as crack growth
A,6,0.01,908,0.16780632045832564,824,824,0.9074889867841409,0.0052822306752204895,0.00974808755563572,0.006190139810054149,0.0051965208019847655,False,low-background diagnostic threshold only; do not interpret as crack growth
A,6,0.02,129,0.02384032526335243,129,129,1.0,0.0008442807011306286,0.0011082026176154613,0.005175488751901444,0.005014837762817394,True,high-threshold region is notch-connected and alpha-He Spearman=0.938
A,6,0.03,66,0.012197375716133801,66,66,1.0,0.0005270354449748993,0.0006426549516618252,0.005118110118377389,0.004980866663214384,True,high-threshold region is notch-connected and alpha-He Spearman=0.938
A,6,0.05,13,0.0024025133986324155,13,13,1.0,0.00013323267921805382,0.0001844051294028759,0.005085790780587838,0.004992611348055876,True,high-threshold region is notch-connected and alpha-He Spearman=0.938
A,6,0.1,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,6,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,6,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,7,0.0001,3410,0.6301977453335798,3410,3410,1.0,0.007183300331234932,0.009766224131453782,0.006859154285879429,0.004958107605401722,False,low-background diagnostic threshold only; do not interpret as crack growth
A,7,0.001,3328,0.6150434300498984,3328,3328,1.0,0.006862429901957512,0.009766224131453782,0.006936593497112671,0.004961418837743063,False,low-background diagnostic threshold only; do not interpret as crack growth
A,7,0.005,3066,0.5666235446313066,3066,3066,1.0,0.005799269303679466,0.009766224131453782,0.007180346952130397,0.005005136611490015,False,low-background diagnostic threshold only; do not interpret as crack growth
A,7,0.01,2846,0.5259656255775272,2846,2846,1.0,0.005449138581752777,0.009766224131453782,0.007365959998513412,0.005054539512364593,False,low-background diagnostic threshold only; do not interpret as crack growth
A,7,0.02,342,0.0632045832563297,334,334,0.9766081871345029,0.005211645737290382,0.006108428176958114,0.005516515497379659,0.004950660386278324,True,high-threshold region is notch-connected and alpha-He Spearman=0.943
A,7,0.03,138,0.025503603770097947,138,138,1.0,0.0008601108565926552,0.0012004245072603226,0.0051780588877643795,0.00501585867849813,True,high-threshold region is notch-connected and alpha-He Spearman=0.943
A,7,0.05,62,0.011458140824246904,62,62,1.0,0.0005270354449748993,0.0005964604206383228,0.005109434669476843,0.004981615918598348,True,high-threshold region is notch-connected and alpha-He Spearman=0.943
A,7,0.1,1,0.00018480872297172427,1,1,1.0,0.0,0.0,0.005021084565669298,0.004998643882572651,True,high-threshold region is notch-connected and alpha-He Spearman=0.943
A,7,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,7,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,8,0.0001,3383,0.6252079098133432,3383,3383,1.0,0.007183300331234932,0.009766224131453782,0.006886523098930135,0.004960907417449105,False,low-background diagnostic threshold only; do not interpret as crack growth
A,8,0.001,3320,0.6135649602661246,3320,3320,1.0,0.006862429901957512,0.009766224131453782,0.006946862741802673,0.004966653090220012,False,low-background diagnostic threshold only; do not interpret as crack growth
A,8,0.005,3143,0.5808538163001293,3143,3143,1.0,0.0058242082595825195,0.009766224131453782,0.007112743317277292,0.005003516904662797,False,low-background diagnostic threshold only; do not interpret as crack growth
A,8,0.01,2986,0.5518388467935686,2986,2986,1.0,0.0055283899419009686,0.009766224131453782,0.007249994943890289,0.005021946913905528,False,low-background diagnostic threshold only; do not interpret as crack growth
A,8,0.02,1674,0.3093698022546664,1674,1674,1.0,0.005355600267648697,0.00974808755563572,0.006779831595186994,0.004938913706482904,True,high-threshold region is notch-connected and alpha-He Spearman=0.942
A,8,0.03,299,0.05525780816854556,293,293,0.979933110367893,0.00514767412096262,0.005952162959147245,0.005479774713503776,0.004973924173562737,True,high-threshold region is notch-connected and alpha-He Spearman=0.942
A,8,0.05,113,0.02088338569580484,113,113,1.0,0.0007378892041742802,0.0010960954241454601,0.005134729878663753,0.004992755628561815,True,high-threshold region is notch-connected and alpha-He Spearman=0.942
A,8,0.1,33,0.006098687858066901,33,33,1.0,0.0003332761116325855,0.00037583615630865097,0.005099808402133711,0.005010535277313355,True,high-threshold region is notch-connected and alpha-He Spearman=0.942
A,8,0.2,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,8,0.5,0,0.0,0,0,0.0,,,,,False,no high-threshold alpha region at this step
A,9,0.0001,3401,0.6285344668268342,3401,3401,1.0,0.007183300331234932,0.009766224131453782,0.006871801141008156,0.004977561901891368,False,low-background diagnostic threshold only; do not interpret as crack growth
A,9,0.001,3350,0.6191092219552763,3350,3350,1.0,0.006862429901957512,0.009766224131453782,0.00692002138977787,0.004977800379396041,False,low-background diagnostic threshold only; do not interpret as crack growth
A,9,0.005,3199,0.5912031047865459,3199,3199,1.0,0.006004036869853735,0.009766224131453782,0.007061815681911262,0.004999371863916608,False,low-background diagnostic threshold only; do not interpret as crack growth
A,9,0.01,3066,0.5666235446313066,3066,3066,1.0,0.005689852871000767,0.009766224131453782,0.007180920691488813,0.005017686001364704,False,low-background diagnostic threshold only; do not interpret as crack growth
A,9,0.02,2821,0.5213454075032341,2821,2821,1.0,0.005394859239459038,0.009766224131453782,0.0073858456214370245,0.0050416677878796605,True,high-threshold region is notch-connected and alpha-He Spearman=0.942
