case_id,step,displacement_or_Delta,Pi_total_kNmm,elastic_energy_kNmm,fracture_energy_kNmm,diagnostic_loss_total,diagnostic_loss_log10,mechanics_current_energy,phase_history_elastic_energy,phase_history_energy
A,0,1e-06,3.603096293547381e-11,3.602727144391693e-11,3.6899105698825946e-15,3.6030968049858745e-11,-10.443324069460443,3.6027278382810835e-11,3.589441591178577e-11,3.58981039338957e-11
A,1,2e-06,1.5859133450923935e-10,1.5858361845921817e-10,7.721437150689375e-15,1.5859135337266308e-10,-9.79972049472905,1.5858359070364259e-10,1.5821718934994067e-10,1.5822490539996179e-10
A,2,3e-06,3.686154714799272e-10,3.6857511487298206e-10,4.035131468327e-14,3.686153581638596e-10,-9.433426574090184,3.6857422669456236e-10,3.679349325214076e-10,3.679752891283528e-10
A,3,3.8e-06,5.994443830203976e-10,5.992368823370953e-10,2.0752212340040266e-13,5.994443520393205e-10,-9.222251127367448,5.99235383536012e-10,5.983639139728324e-10,5.985713591449836e-10
A,4,5e-06,1.0491801871737039e-09,1.04697761571515e-09,2.20253394515868e-12,1.0491800327833143e-09,-8.979149983173699,1.0469753952691008e-09,1.045709741021028e-09,1.047912312479582e-09
A,5,7.5e-06,2.3822521733052326e-09,2.3679951333122062e-09,1.4257143209073232e-11,2.3822527596417675e-09,-8.623012161285654,2.367994245133786e-09,2.365812878935003e-09,2.380069918928029e-09
A,6,1e-05,4.242491247197222e-09,4.1970968922555585e-09,4.5394348002769647e-11,4.242491011274829e-09,-8.372379069165355,4.1970937836310895e-09,4.193781322214818e-09,4.2391752330672724e-09
A,7,1.25e-05,6.613851244452462e-09,6.5015970385218225e-09,1.1225421980842754e-10,6.6138515081304305e-09,-8.17954555993993,6.501586824469996e-09,6.496941207245754e-09,6.609195857265604e-09
A,8,1.5e-05,9.476496920513e-09,9.241093223977261e-09,2.354038075580433e-10,9.476497364602212e-09,-8.023352153834267,9.241057696840473e-09,9.23492926574454e-09,9.470333850458701e-09
A,9,1.75e-05,1.2802100712860922e-08,1.2359975265496814e-08,4.421252530750763e-10,1.280209938059329e-08,-7.892718805770462,1.2359891776725362e-08,1.2352192158004982e-08,1.2794316717190668e-08
A,10,2e-05,1.655852877036068e-08,1.578244024358355e-08,7.760889153551885e-10,1.655852877036068e-08,-7.78097825301602,1.5782285700538523e-08,1.5772869232932862e-08,1.6548955983353153e-08
B,0,1e-06,3.603096293547381e-11,3.602727144391693e-11,3.6899105698825946e-15,3.6030968049858745e-11,-10.443324069460443,3.6027278382810835e-11,3.589441591178577e-11,3.58981039338957e-11
B,1,2e-06,1.5859133450923935e-10,1.5858361845921817e-10,7.721437150689375e-15,1.5859135337266308e-10,-9.79972049472905,1.5858359070364259e-10,1.5821718934994067e-10,1.5822490539996179e-10
B,2,3e-06,3.686154714799272e-10,3.6857511487298206e-10,4.035131468327e-14,3.686153581638596e-10,-9.433426574090184,3.6857422669456236e-10,3.679349325214076e-10,3.679752891283528e-10
B,3,3.8e-06,5.994443830203976e-10,5.992368823370953e-10,2.0752212340040266e-13,5.994443520393205e-10,-9.222251127367448,5.99235383536012e-10,5.983639139728324e-10,5.985713591449836e-10
B,4,5e-06,1.0491801871737039e-09,1.04697761571515e-09,2.20253394515868e-12,1.0491800327833143e-09,-8.979149983173699,1.0469753952691008e-09,1.045709741021028e-09,1.047912312479582e-09
B,5,7.5e-06,2.3822521733052326e-09,2.3679951333122062e-09,1.4257143209073232e-11,2.3822527596417675e-09,-8.623012161285654,2.367994245133786e-09,2.365812878935003e-09,2.380069918928029e-09
B,6,1e-05,4.242491247197222e-09,4.1970968922555585e-09,4.5394348002769647e-11,4.242491011274829e-09,-8.372379069165355,4.1970937836310895e-09,4.193781322214818e-09,4.2391752330672724e-09
B,7,1.25e-05,6.613851244452462e-09,6.5015970385218225e-09,1.1225421980842754e-10,6.6138515081304305e-09,-8.17954555993993,6.501586824469996e-09,6.496941207245754e-09,6.609195857265604e-09
B,8,1.5e-05,9.476496920513e-09,9.241093223977261e-09,2.354038075580433e-10,9.476497364602212e-09,-8.023352153834267,9.241057696840473e-09,9.23492926574454e-09,9.470333850458701e-09
B,9,1.75e-05,1.2802100712860922e-08,1.2359975265496814e-08,4.421252530750763e-10,1.280209938059329e-08,-7.892718805770462,1.2359891776725362e-08,1.2352192158004982e-08,1.2794316717190668e-08
B,10,2e-05,1.655852877036068e-08,1.578244024358355e-08,7.760889153551885e-10,1.655852877036068e-08,-7.78097825301602,1.5782285700538523e-08,1.5772869232932862e-08,1.6548955983353153e-08
C,0,1e-06,3.0234761916325676e-10,3.021005667847021e-10,2.470531374962337e-13,3.0234744146252074e-10,-9.519493702147871,3.0210040025124835e-10,2.2954405043407175e-10,2.297911028126265e-10
C,1,2e-06,2.4506952023273243e-10,2.4497759376629347e-10,9.193004430613216e-14,2.4506924718996776e-10,-9.610711183295647,2.1149185180924235e-10,2.3573520913089396e-10,2.3582713559733293e-10
C,2,3e-06,2.408493404715273e-10,2.4078289362350347e-10,6.643875716510346e-14,2.408493096598568e-10,-9.618254594154797,1.6154669268964028e-10,2.3719901043328657e-10,2.3726545728131043e-10
C,3,3.8e-06,2.406612131800045e-10,2.4060625714028555e-10,5.494464881987057e-14,2.4066087651151307e-10,-9.618594505886932,1.4041987017598956e-10,2.3765525658525627e-10,2.3771018486939965e-10
C,4,5e-06,2.412420263553372e-10,2.4120211383760193e-10,3.990619209322428e-14,2.4124171140815857e-10,-9.617547599234069,1.4541354231845102e-10,2.3839491491983717e-10,2.384348274375725e-10
C,5,7.5e-06,6.076789627051936e-10,6.075497327451274e-10,1.2920900785938494e-13,6.076775466693937e-10,-9.216326810283809,6.03775252017158e-10,6.055013157535426e-10,6.056304902024577e-10
C,6,1e-05,1.649457903596385e-09,1.6447321282697656e-09,4.725737596383839e-12,1.649459612299009e-09,-8.78265831386851,1.6411785264125454e-09,1.641806135488366e-09,1.646532021837288e-09
C,7,1.25e-05,3.228532108323634e-09,3.2050999632105e-09,2.3432134704792773e-11,3.2285297456302597e-09,-8.490995207925147,3.200157250304869e-09,3.2011211459348483e-09,3.2245521808249573e-09
C,8,1.5e-05,5.330339281073293e-09,5.263721902792895e-09,6.661758644721516e-11,5.330333209541127e-09,-8.273245641528428,5.257415391923814e-09,5.258227631088631e-09,5.324845453458238e-09
C,9,1.75e-05,7.941390656185376e-09,7.791505218790462e-09,1.4988520147252158e-10,7.9413906284298e-09,-8.100103440976966,7.784198174931589e-09,7.784205280358947e-09,7.9340924941107e-09
C,10,2e-05,1.1040619973812228e-08,1.0753630874660304e-08,2.869889603740461e-10,1.1040608094425865e-08,-7.957007005883933,1.0744897416259393e-08,1.0744304113075032e-08,1.1031294100405376e-08
