item,value
package,20260704_solved_temperature_mechanics_smoke_adapter
classification,solved-temperature mechanics smoke adapter implemented and tests passed
scope,examples/TM_comsol_thermal_micro only
new_module,examples/TM_comsol_thermal_micro/thermal_mechanics_adapter.py
new_tests,examples/TM_comsol_thermal_micro/tests/test_solved_temperature_mechanics_smoke_adapter.py
adapter_centroid_function,element_centroid_coords_mm
adapter_delta_function,build_element_thermal_delta_T_from_bridge
adapter_kwargs_function,build_mechanics_thermal_kwargs_from_bridge
temperature_bridge_reused,thermal_solution_bridge.build_thermal_strain_input_from_temperature
coupled_heat_mechanics_training,false
strong_residual_training_objective,false
mechanics_defaults_changed,false
train_mixed_tm_modified,false
no_thermal_baseline_touched,false
