item,value
package,20260705_solved_temperature_mechanics_smoke_cli
classification,solved-temperature mechanics smoke cli implemented and tests passed
scope,examples/TM_comsol_thermal_micro only
new_script,examples/TM_comsol_thermal_micro/run_solved_temperature_mechanics_smoke.py
new_tests,examples/TM_comsol_thermal_micro/tests/test_solved_temperature_mechanics_smoke_cli.py
output_table,examples/TM_comsol_thermal_micro/runs/20260705_solved_temperature_mechanics_smoke_cli/tables/mechanics_smoke_results.csv
smoke_function,run_smoke
cli_entrypoint,main
adapter_reused,thermal_mechanics_adapter.build_mechanics_thermal_kwargs_from_bridge
coupled_heat_mechanics_training,false
mechanics_defaults_changed,false
train_mixed_tm_modified,false
no_thermal_baseline_touched,false
