run_group,comparison,metric,max_abs_diff,final_step_diff
3step,solved_minus_prescribed_linear_y,loss_total,3.35009797680641e-14,3.6637359812630166e-15
3step,solved_minus_prescribed_linear_y,elastic_energy,3.35009797680641e-14,3.6637359812630166e-15
3step,solved_minus_prescribed_linear_y,fracture_energy,0.0,0.0
3step,solved_minus_prescribed_linear_y,alpha_max,0.0,0.0
3step,solved_minus_prescribed_linear_y,alpha_mean,0.0,0.0
3step,solved_minus_prescribed_linear_y,alpha_step_change_max,0.0,0.0
3step,solved_minus_prescribed_linear_y,HI_max,2.582964953035116e-09,2.582964953035116e-09
3step,solved_minus_prescribed_linear_y,HII_max,1.6298145055770874e-09,1.6298145055770874e-09
3step,solved_minus_prescribed_linear_y,He_max,4.220055416226387e-09,4.220055416226387e-09
3step,solved_minus_prescribed_linear_y,He_mean,7.821654435247183e-10,-7.821654435247183e-10
3step,solved_minus_prescribed_linear_y,mechanics_drive_max,4.220055416226387e-09,4.220055416226387e-09
3step,solved_minus_prescribed_linear_y,mechanics_drive_mean,7.821654435247183e-10,-7.821654435247183e-10
3step,solved_minus_prescribed_linear_y,notch_tip_delta_T_mean,2.86102294921875e-06,2.86102294921875e-06
3step,solved_minus_prescribed_linear_y,notch_tip_delta_T_max,2.288818359375e-05,2.288818359375e-05
3step,solved_minus_prescribed_linear_y,notch_tip_He_current_max,3.805325832217932e-09,-3.805325832217932e-09
3step,solved_minus_prescribed_linear_y,notch_tip_mechanics_drive_max,3.805325832217932e-09,-3.805325832217932e-09
3step,solved_minus_prescribed_linear_y,bottom_right_delta_T_mean,1.665949821472168e-05,1.665949821472168e-05
3step,solved_minus_prescribed_linear_y,bottom_right_delta_T_max,0.0,0.0
3step,solved_minus_prescribed_linear_y,bottom_right_He_current_max,1.3555109035223722e-08,1.3555109035223722e-08
3step,solved_minus_prescribed_linear_y,bottom_right_mechanics_drive_max,1.3555109035223722e-08,1.3555109035223722e-08
3step,solved_minus_no_thermal,loss_total,6.546965192200105e-10,-6.546965192200105e-10
3step,solved_minus_no_thermal,elastic_energy,6.546965192200105e-10,-6.546965192200105e-10
3step,solved_minus_no_thermal,fracture_energy,0.0,0.0
3step,solved_minus_no_thermal,alpha_max,0.0,0.0
3step,solved_minus_no_thermal,alpha_mean,0.0,0.0
3step,solved_minus_no_thermal,alpha_step_change_max,0.0,0.0
3step,solved_minus_no_thermal,HI_max,8.227869955135247e-06,-9.970462997443974e-07
3step,solved_minus_no_thermal,HII_max,5.259583701899828e-06,-3.549212124198675e-07
3step,solved_minus_no_thermal,He_max,1.3523854590857809e-05,-9.739887900650501e-07
3step,solved_minus_no_thermal,He_mean,2.7914185920963064e-05,-2.7914185920963064e-05
3step,solved_minus_no_thermal,mechanics_drive_max,1.3523854590857809e-05,-9.739887900650501e-07
3step,solved_minus_no_thermal,mechanics_drive_mean,2.7914185920963064e-05,-2.7914185920963064e-05
3step,solved_minus_no_thermal,notch_tip_delta_T_mean,9.999632835388184,9.999632835388184
3step,solved_minus_no_thermal,notch_tip_delta_T_max,10.5921630859375,10.5921630859375
3step,solved_minus_no_thermal,notch_tip_He_current_max,3.255406772950664e-05,-3.255406772950664e-05
3step,solved_minus_no_thermal,notch_tip_mechanics_drive_max,3.255406772950664e-05,-3.255406772950664e-05
3step,solved_minus_no_thermal,bottom_right_delta_T_mean,0.4020843505859375,0.4020843505859375
3step,solved_minus_no_thermal,bottom_right_delta_T_max,0.5771484375,0.5771484375
3step,solved_minus_no_thermal,bottom_right_He_current_max,8.345741662196815e-07,-8.345741662196815e-07
3step,solved_minus_no_thermal,bottom_right_mechanics_drive_max,8.345741662196815e-07,-8.345741662196815e-07
3step,prescribed_linear_y_minus_no_thermal,loss_total,6.547001829559917e-10,-6.547001829559917e-10
3step,prescribed_linear_y_minus_no_thermal,elastic_energy,6.547001829559917e-10,-6.547001829559917e-10
3step,prescribed_linear_y_minus_no_thermal,fracture_energy,0.0,0.0
3step,prescribed_linear_y_minus_no_thermal,alpha_max,0.0,0.0
3step,prescribed_linear_y_minus_no_thermal,alpha_mean,0.0,0.0
3step,prescribed_linear_y_minus_no_thermal,alpha_step_change_max,0.0,0.0
