run_group,case_id,step,Delta,loss_total,elastic_energy,fracture_energy,alpha_max,alpha_mean,alpha_step_change_max,HI_max,HII_max,He_max,He_mean,mechanics_drive_max,mechanics_drive_mean,notch_tip_delta_T_mean,notch_tip_delta_T_max,notch_tip_He_current_max,notch_tip_mechanics_drive_max,bottom_right_delta_T_mean,bottom_right_delta_T_max,bottom_right_He_current_max,bottom_right_mechanics_drive_max
3step,solved,0,1e-06,2.027467189413823e-07,1.6976284267222752e-10,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,8.944587534642778e-06,5.649214017466875e-06,1.4630189980380237e-05,3.1110016607271973e-06,1.4630189980380237e-05,3.1110016607271973e-06,9.999632835388184,10.5921630859375,2.926668230429641e-06,2.926668230429641e-06,0.4020843505859375,0.5771484375,8.374588560400298e-07,8.374588560400298e-07
3step,solved,1,5.875e-06,2.0289491808878068e-07,3.980827889549232e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.39943437918555e-05,1.5140676623559557e-05,3.9230308175319806e-05,1.2267352758499328e-05,3.9230308175319806e-05,1.2267352758499328e-05,9.999632835388184,10.5921630859375,1.6597005014773458e-05,1.6597005014773458e-05,0.4020843505859375,0.5771484375,3.420912253204733e-05,3.420912253204733e-05
3step,solved,2,1.075e-05,2.039718804969226e-07,1.5550949417075799e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.169739157892764e-05,5.159266584087163e-05,0.00013362237950786948,5.831632370245643e-05,0.00013362237950786948,5.831632370245643e-05,9.999632835388184,10.5921630859375,7.94026127550751e-05,7.94026127550751e-05,0.4020843505859375,0.5771484375,0.00011661339522106573,0.00011661339522106573
3step,prescribed_linear_y,0,1e-06,2.0274670797792993e-07,1.6975187921985935e-10,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,8.943984539655503e-06,5.648832939186832e-06,1.4629204088123515e-05,3.1108247640077025e-06,1.4629204088123515e-05,3.1108247640077025e-06,9.999629974365234,10.592140197753906,2.9266275305417366e-06,2.9266275305417366e-06,0.4020676910877228,0.5771484375,8.373891660085064e-07,8.373891660085064e-07
3step,prescribed_linear_y,1,5.875e-06,2.0289488458780092e-07,3.9804928797515515e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.399318509560544e-05,1.514020641479874e-05,3.922906034858897e-05,1.2267154488654342e-05,3.922906034858897e-05,1.2267154488654342e-05,9.999629974365234,10.592140197753906,1.6598294678260572e-05,1.6598294678260572e-05,0.4020676910877228,0.5771484375,3.420513530727476e-05,3.420513530727476e-05
3step,prescribed_linear_y,2,1.075e-05,2.0397187683318663e-07,1.5550912779715986e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.16948086139746e-05,5.1591036026366055e-05,0.00013361815945245326,5.8317105867899954e-05,0.00013361815945245326,5.8317105867899954e-05,9.999629974365234,10.592140197753906,7.940641808090732e-05,7.940641808090732e-05,0.4020676910877228,0.5771484375,0.0001165998401120305,0.0001165998401120305
3step,no_thermal,0,1e-06,2.025934150700487e-07,1.6458971338617623e-11,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,7.167175795075309e-07,3.8963031556704664e-07,1.1063353895224282e-06,6.310370395112841e-07,1.1063353895224282e-06,6.310370395112841e-07,0.0,0.0,8.366532711079344e-07,8.366532711079344e-07,0.0,0.0,9.54326878854772e-07,9.54326878854772e-07
3step,no_thermal,1,5.875e-06,2.0314739745952437e-07,6.505621596986089e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.4718376153032295e-05,1.5332683688029647e-05,4.004097718279809e-05,2.537246109568514e-05,4.004097718279809e-05,2.537246109568514e-05,0.0,0.0,3.299202217021957e-05,3.299202217021957e-05,0.0,0.0,3.468401700956747e-05,3.468401700956747e-05
3step,no_thermal,2,1.075e-05,2.0462657701614262e-07,2.2097914609275904e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.269443787867203e-05,5.19475870532915e-05,0.00013459636829793453,8.62305096234195e-05,0.00013459636829793453,8.62305096234195e-05,0.0,0.0,0.00011195668048458174,0.00011195668048458174,0.0,0.0,0.00011744796938728541,0.00011744796938728541
8step,solved,0,1e-06,2.027467189413823e-07,1.6976284267222752e-10,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,8.944587534642778e-06,5.649214017466875e-06,1.4630189980380237e-05,3.1110016607271973e-06,1.4630189980380237e-05,3.1110016607271973e-06,9.999632835388184,10.5921630859375,2.926668230429641e-06,2.926668230429641e-06,0.4020843505859375,0.5771484375,8.374588560400298e-07,8.374588560400298e-07
8step,solved,1,5.875e-06,2.0289491808878068e-07,3.980827889549232e-10,2.0249683529982576e-07,0.5512648224830627,0.5011438131332397,0.00023159384727478027,2.39943437918555e-05,1.5140676623559557e-05,3.9230308175319806e-05,1.2267352758499328e-05,3.9230308175319806e-05,1.2267352758499328e-05,9.999632835388184,10.5921630859375,1.6597005014773458e-05,1.6597005014773458e-05,0.4020843505859375,0.5771484375,3.420912253204733e-05,3.420912253204733e-05
8step,solved,2,1.075e-05,2.039718804969226e-07,1.5550949417075799e-09,2.0241678555521503e-07,0.551106333732605,0.5010660886764526,0.00023162364959716797,8.169739157892764e-05,5.159266584087163e-05,0.00013362237950786948,5.831632370245643e-05,0.00013362237950786948,5.831632370245643e-05,9.999632835388184,10.5921630859375,7.94026127550751e-05,7.94026127550751e-05,0.4020843505859375,0.5771484375,0.00011661339522106573,0.00011661339522106573
8step,solved,3,1.5625e-05,2.0602140038405992e-07,3.684621940891475e-09,2.0233677844316844e-07,0.550947904586792,0.5009883642196655,0.00023162364959716797,0.00017365222447551787,0.00010966935224132612,0.0002840280067175627,0.0001408357929904014,0.0002840280067175627,0.0001408357929904014,9.999632835388184,10.5921630859375,0.00018900030408985913,0.00018900030408985913,0.4020843505859375,0.5771484375,0.00024785567075014114,0.00024785567075014114
8step,solved,4,2.05e-05,2.0899543384800268e-07,6.738591462607246e-09,2.0225684238539543e-07,0.5507895350456238,0.5009106397628784,0.00023162364959716797,0.00029977728263475,0.00018932728562504053,0.000490324106067419,0.0002594004909042269,0.000490324106067419,0.0002594004909042269,9.999632835388184,10.5921630859375,0.0003453517856542021,0.0003453517856542021,0.4020843505859375,0.5771484375,0.00042777281487360597,0.00042777281487360597
8step,solved,5,2.5375e-05,2.1289416096692548e-07,1.0717254639303064e-08,2.0217690632762242e-07,0.5506312251091003,0.5008329153060913,0.00023171305656433105,0.000460003997432068,0.00029052310856059194,0.0007523985113948584,0.00041402847273275256,0.0007523985113948584,0.00041402847273275256,9.999632835388184,10.5921630859375,0.0005494691431522369,0.0005494691431522369,0.4020843505859375,0.5771484375,0.0006562024354934692,0.0006562024354934692
8step,solved,6,3.025e-05,2.177186573248946e-07,1.5621630211626325e-08,2.0209702711326827e-07,0.5504729151725769,0.5007551908493042,0.00023168325424194336,0.0006542652263306081,0.0004132143803872168,0.001070141326636076,0.0006047291681170464,0.001070141326636076,0.0006047291681170464,9.999632835388184,10.5921630859375,0.0008014584891498089,0.0008014584891498089,0.4020843505859375,0.5771484375,0.0009329786407761276,0.0009329786407761276
8step,solved,7,3.5125e-05,2.2347133210587344e-07,2.145414157439518e-08,2.0201719053147826e-07,0.5503146648406982,0.5006775856018066,0.00023168325424194336,0.0008824921096675098,0.0005573576199822128,0.0014434398617595434,0.0008315974846482277,0.0014434398617595434,0.0008315974846482277,9.999632835388184,10.5921630859375,0.0011004875414073467,0.0011004875414073467,0.4020843505859375,0.5771484375,0.0012579606845974922,0.0012579606845974922
8step,prescribed_linear_y,0,1e-06,2.0274670797792993e-07,1.6975187921985935e-10,2.0257695609871007e-07,0.5514233112335205,0.5012216567993164,0.5514233112335205,8.943984539655503e-06,5.648832939186832e-06,1.4629204088123515e-05,3.1108247640077025e-06,1.4629204088123515e-05,3.1108247640077025e-06,9.999629974365234,10.592140197753906,2.9266275305417366e-06,2.9266275305417366e-06,0.4020676910877228,0.5771484375,8.373891660085064e-07,8.373891660085064e-07
