run_group,comparison,step,Delta,loss_total_diff,elastic_energy_diff,fracture_energy_diff,alpha_max_diff,alpha_mean_diff,alpha_step_change_max_diff,HI_max_diff,HII_max_diff,He_max_diff,He_mean_diff,mechanics_drive_max_diff,mechanics_drive_mean_diff,notch_tip_delta_T_mean_diff,notch_tip_delta_T_max_diff,notch_tip_He_current_max_diff,notch_tip_mechanics_drive_max_diff,bottom_right_delta_T_mean_diff,bottom_right_delta_T_max_diff,bottom_right_He_current_max_diff,bottom_right_mechanics_drive_max_diff
3step,solved_minus_prescribed_linear_y,0,1e-06,1.0963452368173421e-14,1.0963452368173421e-14,0.0,0.0,0.0,0.0,6.029949872754514e-10,3.8107828004285693e-10,9.858922567218542e-10,1.7689671949483454e-10,9.858922567218542e-10,1.7689671949483454e-10,2.86102294921875e-06,2.288818359375e-05,4.069988790433854e-11,4.069988790433854e-11,1.665949821472168e-05,0.0,6.969003152335063e-11,6.969003152335063e-11
3step,solved_minus_prescribed_linear_y,1,5.875e-06,3.35009797680641e-14,3.35009797680641e-14,0.0,0.0,0.0,0.0,1.1586962500587106e-09,4.702087608166039e-10,1.2478267308324575e-09,1.9826984498649836e-10,1.2478267308324575e-09,1.9826984498649836e-10,2.86102294921875e-06,2.288818359375e-05,-1.2896634871140122e-09,-1.2896634871140122e-09,1.665949821472168e-05,0.0,3.987224772572517e-09,3.987224772572517e-09
3step,solved_minus_prescribed_linear_y,2,1.075e-05,3.6637359812630166e-15,3.6637359812630166e-15,0.0,0.0,0.0,0.0,2.582964953035116e-09,1.6298145055770874e-09,4.220055416226387e-09,-7.821654435247183e-10,4.220055416226387e-09,-7.821654435247183e-10,2.86102294921875e-06,2.288818359375e-05,-3.805325832217932e-09,-3.805325832217932e-09,1.665949821472168e-05,0.0,1.3555109035223722e-08,1.3555109035223722e-08
3step,solved_minus_no_thermal,0,1e-06,1.533038713336099e-10,1.533038713336099e-10,0.0,0.0,0.0,0.0,8.227869955135247e-06,5.259583701899828e-06,1.3523854590857809e-05,2.4799646212159132e-06,1.3523854590857809e-05,2.4799646212159132e-06,9.999632835388184,10.5921630859375,2.0900149593217066e-06,2.0900149593217066e-06,0.4020843505859375,0.5771484375,-1.1686802281474229e-07,-1.1686802281474229e-07
3step,solved_minus_no_thermal,1,5.875e-06,-2.5247937074368565e-10,-2.5247937074368565e-10,0.0,0.0,0.0,0.0,-7.240323611767963e-07,-1.9200706447008997e-07,-8.106690074782819e-07,-1.3105108337185811e-05,-8.106690074782819e-07,-1.3105108337185811e-05,9.999632835388184,10.5921630859375,-1.6395017155446112e-05,-1.6395017155446112e-05,0.4020843505859375,0.5771484375,-4.74894477520138e-07,-4.74894477520138e-07
3step,solved_minus_no_thermal,2,1.075e-05,-6.546965192200105e-10,-6.546965192200105e-10,0.0,0.0,0.0,0.0,-9.970462997443974e-07,-3.549212124198675e-07,-9.739887900650501e-07,-2.7914185920963064e-05,-9.739887900650501e-07,-2.7914185920963064e-05,9.999632835388184,10.5921630859375,-3.255406772950664e-05,-3.255406772950664e-05,0.4020843505859375,0.5771484375,-8.345741662196815e-07,-8.345741662196815e-07
3step,prescribed_linear_y_minus_no_thermal,0,1e-06,1.5329290788124172e-10,1.5329290788124172e-10,0.0,0.0,0.0,0.0,8.227266960147972e-06,5.259202623619785e-06,1.3522868698601087e-05,2.4797877244964184e-06,1.3522868698601087e-05,2.4797877244964184e-06,9.999629974365234,10.592140197753906,2.0899742594338022e-06,2.0899742594338022e-06,0.4020676910877228,0.5771484375,-1.1693771284626564e-07,-1.1693771284626564e-07
3step,prescribed_linear_y_minus_no_thermal,1,5.875e-06,-2.525128717234537e-10,-2.525128717234537e-10,0.0,0.0,0.0,0.0,-7.25191057426855e-07,-1.9247727323090658e-07,-8.119168342091143e-07,-1.3105306607030798e-05,-8.119168342091143e-07,-1.3105306607030798e-05,9.999629974365234,10.592140197753906,-1.6393727491958998e-05,-1.6393727491958998e-05,0.4020676910877228,0.5771484375,-4.788817022927105e-07,-4.788817022927105e-07
3step,prescribed_linear_y_minus_no_thermal,2,1.075e-05,-6.547001829559917e-10,-6.547001829559917e-10,0.0,0.0,0.0,0.0,-9.996292646974325e-07,-3.565510269254446e-07,-9.782088454812765e-07,-2.791340375551954e-05,-9.782088454812765e-07,-2.791340375551954e-05,9.999629974365234,10.592140197753906,-3.2550262403674424e-05,-3.2550262403674424e-05,0.4020676910877228,0.5771484375,-8.481292752549052e-07,-8.481292752549052e-07
8step,solved_minus_prescribed_linear_y,0,1e-06,1.0963452368173421e-14,1.0963452368173421e-14,0.0,0.0,0.0,0.0,6.029949872754514e-10,3.8107828004285693e-10,9.858922567218542e-10,1.7689671949483454e-10,9.858922567218542e-10,1.7689671949483454e-10,2.86102294921875e-06,2.288818359375e-05,4.069988790433854e-11,4.069988790433854e-11,1.665949821472168e-05,0.0,6.969003152335063e-11,6.969003152335063e-11
